Linha,De,Para,Fases,I (A),I (°),P (kW),Q (kVAR),S (kVA)
source,SOURCEBUS,SOURCEBUS,3,16.53,-155.89,-687.86,-70.98,691.51
l1,800,802,3,45.55,-5.68,684.22,68.04,687.59
l2,802,806,3,44.29,-5.07,664.73,58.29,667.29
l3,806,808,3,44.29,-5.11,664.01,58.27,666.56
l4,808,810,3,0.11,93.24,-0.11,-1.57,1.57
l5,808,812,3,44.03,-5.82,645.19,56.47,647.66
l6,812,814,3,44.14,-6.7,629.54,55.27,631.96
l7,814R,850,3,42.11,-7.37,616.98,53.68,619.31
l8,816,818,3,3.87,-15.35,55.4,12.73,56.85
l9,816,824,3,38.17,-6.52,559.69,40.26,561.14
l10,818,820,3,3.04,-12.07,44.09,7.51,44.72
l11,820,822,3,0.24,91.41,-0.24,-3.52,3.53
l12,824,826,3,0.05,91.25,-0.05,-0.77,0.77
l13,824,828,3,37.15,-6.2,540.12,33.94,541.19
l14,828,830,3,36.99,-6.13,537.42,32.97,538.43
l15,830,854,3,35.97,-6.04,513.61,27.17,514.33
l16,832,858,3,22.72,5.25,337.68,-53.48,341.89
l17,834,860,3,6.16,-34.12,79.76,46.38,92.26
l18,834,842,3,15.49,30.08,192.22,-129.76,231.92
l19,836,840,3,0.78,-40.97,9.36,7.06,11.72
l20,836,862,3,0.66,-23.54,9.24,3.29,9.81
l21,842,844,3,15.38,30.82,189.2,-131.36,230.33
l22,844,846,3,9.8,75.14,27.72,-144.13,146.78
l23,846,848,3,9.9,78.22,20.01,-146.88,148.24
l24,850,816,3,42.11,-7.37,616.98,53.68,619.31
l25,852R,832,3,33.11,-7.6,497.14,33.45,498.27
l26,854,856,3,0.4,90.84,-0.39,-5.69,5.71
l27,854,852,3,35.93,-6.62,512.45,32.22,513.46
l28,858,864,3,0.03,90.0,-0.03,-0.44,0.44
l29,858,834,3,22.03,6.28,325.62,-58.11,330.77
l30,860,836,3,2.43,-31.01,32.44,16.57,36.43
l31,862,838,3,0.09,89.9,-0.09,-1.3,1.3
l32,888,890,3,69.81,-32.42,150.78,77.31,169.44
