id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;subtensao_manhã;sobretensao_manhã;subtensao_tarde;sobretensao_tarde;subtensao_noite;sobretensao_noite;subtensao_madrugada;sobretensao_madrugada;subtensao_bess_carga;sobretensao_bess_carga;subtensao_bess_pós_carga_pré_descarga;sobretensao_bess_pós_carga_pré_descarga;subtensao_bess_descarga;sobretensao_bess_descarga;subtensao_bess_fora_de_operacao;sobretensao_bess_fora_de_operacao;horas_com_erro_max_control;horas_com_voltvar_ativo;pen_pct
1;parcialmente_nublado;5;1769,0;5;619,15;1;7;1;7;2;6;2;0;1;7;1;6;1;6;2;7;0;24;100
2;ceu_aberto;5;1769,0;5;619,1500000000001;27;7;27;7;2;6;2;0;27;7;1;7;1;6;18;7;0;19;100
3;parcialmente_nublado;5;1768,99;5;619,15;3;7;1;7;2;6;2;0;3;7;1;7;1;6;2;7;0;24;100
4;ceu_aberto;5;1769,0;5;619,14;27;7;27;7;2;6;2;0;27;7;1;7;1;6;7;7;0;19;100
5;nublado;5;1769,0;5;619,1500000000001;1;7;2;6;2;6;2;0;2;6;1;2;1;6;2;7;0;21;100
6;parcialmente_nublado;5;1769,0;5;619,15;3;8;3;7;2;6;2;0;3;7;1;6;1;6;2;8;0;24;100
7;ceu_aberto;5;1769,01;5;619,15;29;7;4;7;2;6;2;0;29;7;1;7;1;6;25;7;0;19;100
8;nublado;5;1769,01;5;619,15;1;7;1;7;2;6;2;0;1;6;1;7;1;6;2;7;0;21;100
9;nublado;5;1769,0;5;619,15;2;7;1;6;2;6;2;0;2;7;1;6;1;6;2;7;0;21;100
10;nublado;5;1769,0;5;619,15;1;8;1;7;2;6;2;0;1;7;1;7;1;6;2;8;0;21;100
11;nublado;5;1768,99;5;619,15;1;7;1;7;2;6;2;0;1;7;1;7;1;6;2;7;0;21;100
12;parcialmente_nublado;5;1768,99;5;619,15;24;7;2;7;2;6;2;0;24;7;1;6;1;6;2;7;0;24;100
13;parcialmente_nublado;5;1769,01;5;619,1500000000001;2;7;29;7;2;6;2;0;29;7;1;7;1;6;2;7;0;24;100
14;ceu_aberto;5;1768,99;5;619,14;27;7;24;7;2;6;2;0;27;7;1;7;1;6;5;7;0;19;100
15;ceu_aberto;5;1769,0;5;619,14;27;7;29;7;2;6;2;0;29;7;1;7;1;6;25;7;0;19;100
16;parcialmente_nublado;5;1769,0;5;619,14;23;7;2;7;2;6;2;0;2;7;1;6;1;6;24;7;0;24;100
17;ceu_aberto;5;1769,0;5;619,16;24;7;27;7;2;6;2;0;27;7;1;7;1;6;25;7;0;19;100
18;nublado;5;1769,0;5;619,15;1;7;1;6;2;6;2;0;1;6;1;6;1;6;2;7;0;21;100
19;nublado;5;1769,0;5;619,15;1;8;1;6;2;6;2;0;1;7;1;6;1;6;2;8;0;21;100
20;parcialmente_nublado;5;1769,0;5;619,15;26;9;2;7;2;6;2;0;26;7;1;7;1;6;2;9;0;24;100
21;ceu_aberto;5;1769,0;5;619,1500000000001;29;7;24;7;2;6;2;0;29;7;1;7;1;6;9;7;0;19;100
22;ceu_aberto;5;1769,0;5;619,1600000000001;27;7;29;7;2;6;2;0;29;7;1;7;1;6;24;7;0;19;100
23;nublado;5;1769,0;5;619,16;1;7;1;7;2;6;2;0;1;7;1;6;1;6;2;7;0;21;100
24;ceu_aberto;5;1769,0;5;619,15;27;7;22;7;2;6;2;0;27;7;1;7;1;6;23;7;0;19;100
25;ceu_aberto;5;1769,0;5;619,15;29;7;6;7;2;6;2;0;29;7;1;7;1;6;24;7;0;19;100
26;nublado;5;1769,0;5;619,14;1;9;1;7;2;6;2;0;1;7;1;7;1;6;2;9;0;21;100
27;nublado;5;1768,99;5;619,16;1;7;4;7;2;6;2;0;4;7;1;7;1;6;2;7;0;21;100
28;ceu_aberto;5;1769,0;5;619,15;24;8;27;7;2;6;2;0;27;7;1;7;1;6;25;8;0;19;100
29;parcialmente_nublado;5;1768,99;5;619,14;27;7;1;7;2;6;2;0;27;7;1;6;1;6;2;7;0;24;100
30;parcialmente_nublado;5;1768,99;5;619,15;2;7;1;7;2;6;2;0;2;7;1;7;1;6;2;7;0;24;100
31;nublado;5;1769,0;5;619,15;2;7;1;7;2;6;2;0;2;7;1;6;1;6;2;7;0;21;100
32;parcialmente_nublado;5;1769,0;5;619,1500000000001;4;7;6;7;2;6;2;0;6;7;1;6;1;6;2;7;0;24;100
33;nublado;5;1769,0;5;619,16;1;8;1;6;2;6;2;0;1;6;1;6;1;6;2;8;0;21;100
34;parcialmente_nublado;5;1769,0;5;619,16;6;7;4;7;2;6;2;0;6;7;1;6;1;6;2;7;0;24;100
35;nublado;5;1769,0;5;619,14;1;7;1;6;2;6;2;0;1;6;1;6;1;6;2;7;0;21;100
36;parcialmente_nublado;5;1768,99;5;619,15;26;7;2;7;2;6;2;0;26;7;1;7;1;6;5;7;0;24;100
37;ceu_aberto;5;1768,99;5;619,14;2;7;27;7;2;6;2;0;27;7;1;7;1;6;2;7;0;19;100
38;ceu_aberto;5;1769,0;5;619,15;29;7;29;9;2;6;2;0;29;7;1;9;1;6;25;7;0;19;100
39;ceu_aberto;5;1769,02;5;619,14;27;7;3;7;2;6;2;0;27;7;1;7;1;6;24;7;0;19;100
