id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_manhã;defeitos_tarde;defeitos_noite;defeitos_madrugada;defeitos_bess_carga;defeitos_bess_pós_carga_pré_descarga;defeitos_bess_descarga;defeitos_bess_fora_de_operacao;horas_com_erro_max_control;pen_pct
1;parcialmente_nublado;1;176,9;2;196,66000000000003;1;1;1;1;1;1;1;1;0;10
2;ceu_aberto;2;176,9;2;338,99;1;1;1;1;1;1;1;1;0;10
3;nublado;1;176,9;2;407,29999999999995;1;1;1;1;1;1;1;1;0;10
4;nublado;2;176,9;2;296,58000000000004;1;1;1;1;1;1;1;1;0;10
5;ceu_aberto;1;176,9;2;310,47;1;1;1;1;1;1;1;1;0;10
6;ceu_aberto;1;176,9;2;448,33;1;1;1;1;1;1;2;1;0;10
7;nublado;1;176,9;2;182,63;1;1;1;1;1;1;1;1;0;10
8;parcialmente_nublado;1;176,9;2;399,90999999999997;1;1;1;1;1;1;1;1;0;10
9;nublado;1;176,9;2;284,53;1;1;1;1;1;1;1;1;0;10
10;parcialmente_nublado;3;176,9;2;255,82;1;1;1;1;1;1;1;1;0;10
11;nublado;1;176,9;2;207,51999999999998;1;1;1;1;1;1;1;1;0;10
12;ceu_aberto;1;176,9;2;322,15;1;1;1;1;1;1;1;1;0;10
13;parcialmente_nublado;1;176,9;2;218,34;1;1;1;1;1;1;1;1;0;10
14;parcialmente_nublado;1;176,9;2;365,34;1;1;1;1;1;1;1;1;0;10
15;nublado;1;176,9;2;353,33;1;1;1;1;1;1;1;1;0;10
16;ceu_aberto;1;176,9;2;136,69;1;1;1;1;1;1;1;1;0;10
17;ceu_aberto;1;176,9;2;395,24;1;1;1;1;1;1;1;1;0;10
18;ceu_aberto;1;176,9;2;306,79;1;1;1;1;1;1;1;1;0;10
19;parcialmente_nublado;1;176,9;2;425,5;1;1;1;1;1;1;1;1;0;10
20;ceu_aberto;1;176,9;2;460,34000000000003;1;1;1;1;1;1;2;1;0;10
21;nublado;1;176,9;2;446,18;1;1;1;1;1;1;2;1;0;10
22;nublado;1;176,9;2;154,03;1;1;1;1;1;1;1;1;0;10
23;nublado;1;176,9;2;225,4;1;1;1;1;1;1;1;1;0;10
24;ceu_aberto;2;176,9;2;303,49;1;1;1;1;1;1;1;1;0;10
25;ceu_aberto;1;176,9;2;223,21;1;1;1;1;1;1;1;1;0;10
26;nublado;1;176,9;2;423,21000000000004;1;1;1;1;3;1;2;1;0;10
27;parcialmente_nublado;1;176,9;2;230,36;1;1;1;1;1;1;1;1;0;10
28;ceu_aberto;1;176,9;2;483,65999999999997;1;1;1;1;1;1;5;1;0;10
29;ceu_aberto;2;176,9;2;359,42;1;1;1;1;1;1;1;1;0;10
30;nublado;2;176,9;2;162,5;1;1;1;1;1;1;1;1;0;10
31;nublado;1;176,9;2;307,47;1;1;1;1;1;1;1;1;0;10
