id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;subtensao_manhã;sobretensao_manhã;subtensao_tarde;sobretensao_tarde;subtensao_noite;sobretensao_noite;subtensao_madrugada;sobretensao_madrugada;subtensao_bess_carga;sobretensao_bess_carga;subtensao_bess_pós_carga_pré_descarga;sobretensao_bess_pós_carga_pré_descarga;subtensao_bess_descarga;sobretensao_bess_descarga;subtensao_bess_fora_de_operacao;sobretensao_bess_fora_de_operacao;horas_com_erro_max_control;pen_pct
1;parcialmente_nublado;5;1945,9;5;681,07;1;24;1;16;2;8;2;0;1;16;1;9;1;8;2;24;0;110
2;ceu_aberto;5;1945,89;5;681,07;1;33;1;33;2;8;2;0;1;33;1;11;1;8;2;33;0;110
3;parcialmente_nublado;5;1945,89;5;681,0699999999999;1;32;1;12;2;9;2;0;1;32;1;9;1;9;2;24;0;110
4;ceu_aberto;5;1945,9;5;681,0600000000001;1;32;1;32;2;8;2;0;1;32;1;9;1;8;2;32;0;110
5;ceu_aberto;5;1945,9;5;681,06;1;33;1;33;2;8;2;0;1;33;1;9;1;8;2;22;0;110
6;parcialmente_nublado;5;1945,91;5;681,07;1;27;1;27;2;8;2;0;1;27;1;9;1;8;2;27;0;110
7;ceu_aberto;5;1945,9;5;681,06;1;33;1;32;2;8;2;0;1;33;1;11;1;8;2;32;0;110
8;ceu_aberto;5;1945,91;5;681,06;1;33;1;33;2;8;2;0;1;33;1;12;1;8;2;32;0;110
9;nublado;5;1945,9;5;681,0600000000001;1;18;1;9;2;8;2;0;1;18;1;9;1;8;2;11;0;110
10;ceu_aberto;5;1945,9;5;681,06;1;33;1;32;2;8;2;0;1;32;1;13;1;8;2;33;0;110
11;ceu_aberto;5;1945,91;5;681,06;1;33;1;33;2;8;2;0;1;33;1;9;1;8;2;30;0;110
12;parcialmente_nublado;5;1945,9;5;681,06;1;17;1;33;2;8;2;0;1;33;1;9;1;8;2;11;0;110
13;parcialmente_nublado;5;1945,9;5;681,0699999999999;1;24;1;18;2;8;2;0;1;24;1;9;1;8;2;22;0;110
14;ceu_aberto;5;1945,9;5;681,0699999999999;1;32;1;32;2;8;2;0;1;32;1;9;1;8;2;32;0;110
15;ceu_aberto;5;1945,91;5;681,06;1;32;1;33;2;8;2;0;1;33;1;11;1;8;2;32;0;110
16;ceu_aberto;5;1945,9;5;681,07;1;33;1;32;2;8;2;0;1;32;1;18;1;8;2;33;0;110
17;parcialmente_nublado;5;1945,91;5;681,0699999999999;1;24;1;15;2;9;2;0;1;24;1;9;1;9;2;18;0;110
18;ceu_aberto;5;1945,89;5;681,06;1;32;1;33;2;8;2;0;1;33;1;11;1;8;2;32;0;110
19;parcialmente_nublado;5;1945,9;5;681,08;1;14;1;27;2;8;2;0;1;27;1;9;1;8;2;11;0;110
20;parcialmente_nublado;5;1945,89;5;681,07;1;31;1;11;2;8;2;0;1;27;1;9;1;8;2;31;0;110
21;ceu_aberto;5;1945,9;5;681,0600000000001;1;27;1;28;2;8;2;0;1;28;1;9;1;8;2;24;0;110
