Variável;0% - Mínimo;0% - Máximo;0% - Média;0% - Desvio Padrão;50% - Mínimo;50% - Máximo;50% - Média;50% - Desvio Padrão;100% - Mínimo;100% - Máximo;100% - Média;100% - Desvio Padrão;150% - Mínimo;150% - Máximo;150% - Média;150% - Desvio Padrão
Capacidade BESS Total (kWh);-;-;-;-;715.22;1140.34;928.9158;78.018899;1448.47;2257.69;1853.45692;150.955267;2101.45;3471.38;2788.56882;233.904613
Fator de Pico Horário (Irradiância);0.5485;1;0.940992;0.084613;0.5984;1;0.94406;0.083414;0.6007;1;0.930987;0.095061;0.6201;1;0.951557;0.075714
Fatores de Incerteza de Carga (agregado);0.8;1.2;1.000082;0.095997;0.8;1.2;1.000208;0.095997;0.8;1.2;1.000101;0.09599;0.8;1.2;1.000051;0.095901
Frequência: ceu_aberto;-;-;49.0%;-;-;-;50.0%;-;-;-;46.6%;-;-;-;52.2%;-
Frequência: nublado;-;-;12.6%;-;-;-;10.2%;-;-;-;16.2%;-;-;-;10.0%;-
Frequência: parcialmente_nublado;-;-;38.4%;-;-;-;39.8%;-;-;-;37.2%;-;-;-;37.8%;-
Número de Barras com Sobretensão;0;61;31.663;19.15349;0;61;31.663;19.15349;0;61;31.663;19.15349;0;61;31.663;19.15349
Número de Barras com Subtensão;11;143;43.635125;44.582244;11;143;43.635125;44.582244;11;143;43.635125;44.582244;11;143;43.635125;44.582244
Potência BESS Total (kW);-;-;-;-;309.56;309.59;309.57492;0.006678;619.14;619.17;619.15006;0.006308;928.71;928.74;928.72502;0.006245
Potência FV na Barra 840 (kW);-;-;-;-;129.78;226.34;176.94634;16.03325;275.44;433.96;353.90752;30.763705;383.22;691.33;532.30312;49.028382
Potência FV na Barra 844 (kW);-;-;-;-;138.71;231.85;177.63318;16.366809;262.42;451.3;352.16586;31.612634;365.25;641.89;530.0027;48.279008
Potência FV na Barra 848 (kW);-;-;-;-;133.28;222.18;176.8896;16.285831;272.81;454.23;355.14244;30.494772;365.57;661.27;529.8607;46.579736
Potência FV na Barra 860 (kW);-;-;-;-;135.44;229.96;175.65136;14.923366;256.25;444.45;354.41684;31.125798;401.34;651.13;531.77198;47.876877
Potência FV na Barra 890 (kW);-;-;-;-;125.22;227.56;177.37948;15.912775;264.87;464.94;353.36744;31.021483;375.27;690.2;529.56164;50.081579
