id;tipo_dia;unidade;barra;potencia_pv_kw;potencia_bess_kw;razao_bess_h;capacidade_bess_kwh;fator_carga
1;ceu_aberto;1;6;239,09;239,09;1,776;424,7;1,0369
1;ceu_aberto;2;10;120,31;120,31;2,988;359,44;1,0086
1;ceu_aberto;3;14;26,99;26,99;1,935;52,24;0,9942
1;ceu_aberto;4;18;141,77;141,77;2,56;362,96;0,9849
1;ceu_aberto;5;25;7,26;7,26;2,64;19,16;0,9261
1;ceu_aberto;6;32;497,86;497,86;1,555;773,95;0,964
2;parcialmente_nublado;1;6;292,14;292,14;2,901;847,39;1,005
2;parcialmente_nublado;2;10;375,64;375,64;2,607;979,43;0,9748
2;parcialmente_nublado;3;14;71,08;71,08;1,271;90,34;0,9225
2;parcialmente_nublado;4;18;341,29;341,29;3,506;1196,53;1,0034
2;parcialmente_nublado;5;25;120,12;120,12;1,962;235,72;0,9469
2;parcialmente_nublado;6;32;262,11;262,11;1,56;408,77;1,0237
3;nublado;1;6;360,77;360,77;3,67;1324,03;1,1157
3;nublado;2;10;350,74;350,74;2,014;706,38;0,9066
3;nublado;3;14;806,56;806,56;2,127;1715,36;1,0343
3;nublado;4;18;528,85;528,85;1,282;677,96;0,9194
3;nublado;5;25;609,88;609,88;2,735;1667,92;0,9764
3;nublado;6;32;800,35;800,35;1,108;886,65;1,0544
4;ceu_aberto;1;6;173,21;173,21;2,022;350,31;1,0653
4;ceu_aberto;2;10;205,07;205,07;3,792;777,69;1,0011
4;ceu_aberto;3;14;580,84;580,84;3,575;2076,65;1,0341
4;ceu_aberto;4;18;66,36;66,36;2,287;151,77;0,9845
4;ceu_aberto;5;25;58,03;58,03;3,253;188,74;1,0162
4;ceu_aberto;6;32;186,83;186,83;3,264;609,75;0,9935
5;nublado;1;6;1221,88;1221,88;3,515;4294,89;1,0003
5;nublado;2;10;45,64;45,64;2,406;109,81;1,0023
5;nublado;3;14;252,46;252,46;2,244;566,63;0,9775
5;nublado;4;18;134,24;134,24;1,82;244,35;1,0311
5;nublado;5;25;980,94;980,94;1,169;1146,85;0,9466
5;nublado;6;32;516,81;516,81;3,594;1857,49;0,9929
6;ceu_aberto;1;6;250,79;250,79;1,359;340,89;1,0039
6;ceu_aberto;2;10;378,7;378,7;3,672;1390,43;0,9569
6;ceu_aberto;3;14;16,21;16,21;2,781;45,08;1,0762
6;ceu_aberto;4;18;310,79;310,79;3,037;943,96;1,0269
6;ceu_aberto;5;25;189,93;189,93;3,368;639,59;0,9481
6;ceu_aberto;6;32;317,21;317,21;2,495;791,53;0,9905
7;parcialmente_nublado;1;6;219,12;219,12;2,883;631,74;1,0091
7;parcialmente_nublado;2;10;354,82;354,82;2,005;711,31;1,0124
7;parcialmente_nublado;3;14;1071,99;1071,99;1,418;1519,88;0,977
7;parcialmente_nublado;4;18;442,82;442,82;3,382;1497,65;0,9575
7;parcialmente_nublado;5;25;56,24;56,24;2,86;160,86;1,0415
