id;tipo_dia;penetracao_pct;potencia_pv_total_mw;potencias_pv_kw;razoes_bess_h;capacidades_bess_kwh;fator_carga_barras
1;ceu_aberto;27,81;1,0333;[239.09, 120.31, 26.99, 141.77, 7.26, 497.86];[1.776, 2.988, 1.935, 2.56, 2.64, 1.555];[424.7, 359.44, 52.24, 362.96, 19.16, 773.95];[1.0369, 1.0086, 0.9942, 0.9849, 0.9261, 0.964, 0.977, 1.0529, 1.0172, 0.9118, 1.0162, 0.9807, 0.9662, 1.0306, 1.0515, 1.0466, 0.958, 0.9845, 1.0166, 1.0488, 0.976, 0.9907, 0.9447, 0.9402, 1.0406, 1.0678, 0.9964, 1.0502, 1.0181, 0.9677, 1.0181, 1.0769]
2;parcialmente_nublado;39,36;1,4624;[292.14, 375.64, 71.08, 341.29, 120.12, 262.11];[2.901, 2.607, 1.271, 3.506, 1.962, 1.56];[847.39, 979.43, 90.34, 1196.53, 235.72, 408.77];[1.005, 0.9748, 0.9225, 1.0034, 0.9469, 1.0237, 0.954, 1.0775, 0.9608, 0.9839, 1.0407, 0.9385, 1.0114, 1.0654, 0.9196, 1.0092, 1.013, 1.0391, 0.9382, 0.934, 1.0261, 1.0148, 1.0125, 1.0173, 0.966, 1.0116, 1.0147, 0.9643, 1.0933, 1.0237, 0.9404, 1.0328]
3;nublado;93,06;3,4572;[360.77, 350.74, 806.56, 528.85, 609.88, 800.35];[3.67, 2.014, 2.127, 1.282, 2.735, 1.108];[1324.03, 706.38, 1715.36, 677.96, 1667.92, 886.65];[1.1157, 0.9066, 1.0343, 0.9194, 0.9764, 1.0544, 1.0032, 0.9461, 0.9642, 1.034, 0.9635, 1.0108, 1.0023, 0.9674, 1.1072, 1.0317, 0.8987, 1.0093, 0.9669, 1.0426, 0.9604, 0.9943, 1.0252, 1.0433, 0.94, 0.9833, 0.9763, 0.9673, 1.0883, 1.0202, 0.937, 1.0459]
4;ceu_aberto;34,2;1,2704;[173.21, 205.07, 580.84, 66.36, 58.03, 186.83];[2.022, 3.792, 3.575, 2.287, 3.253, 3.264];[350.31, 777.69, 2076.65, 151.77, 188.74, 609.75];[1.0653, 1.0011, 1.0341, 0.9845, 1.0162, 0.9935, 1.0048, 1.0298, 0.9591, 1.1046, 0.9497, 0.9393, 1.0579, 1.0396, 1.0312, 1.0314, 0.9994, 0.9551, 1.0038, 0.9661, 1.0488, 0.9926, 0.9587, 0.9839, 1.0206, 0.9718, 0.9589, 1.0122, 1.0122, 0.9747, 0.9764, 1.0116]
5;nublado;84,84;3,152;[1221.88, 45.64, 252.46, 134.24, 980.94, 516.81];[3.515, 2.406, 2.244, 1.82, 1.169, 3.594];[4294.89, 109.81, 566.63, 244.35, 1146.85, 1857.49];[1.0003, 1.0023, 0.9775, 1.0311, 0.9466, 0.9929, 1.006, 1.0257, 1.0356, 0.9438, 0.9233, 1.0639, 1.0166, 0.9626, 1.0776, 1.0058, 1.059, 1.0034, 1.103, 1.0878, 0.9876, 1.0486, 1.0323, 1.0684, 0.9518, 1.0343, 1.0529, 0.9121, 0.9408, 0.898, 0.9865, 1.0359]
6;ceu_aberto;39,4;1,4636;[250.79, 378.7, 16.21, 310.79, 189.93, 317.21];[1.359, 3.672, 2.781, 3.037, 3.368, 2.495];[340.89, 1390.43, 45.08, 943.96, 639.59, 791.53];[1.0039, 0.9569, 1.0762, 1.0269, 0.9481, 0.9905, 0.9562, 0.9309, 1.0463, 1.0955, 0.9301, 1.0281, 0.9675, 0.9756, 0.9704, 0.9568, 1.0024, 0.9585, 1.0135, 0.9975, 0.9881, 0.9546, 0.9712, 1.0378, 1.025, 0.9511, 1.005, 1.0376, 0.9165, 1.0272, 0.9669, 1.0285]
7;parcialmente_nublado;91,97;3,4165;[219.12, 354.82, 1071.99, 442.82, 56.24, 1271.55];[2.883, 2.005, 1.418, 3.382, 2.86, 2.6];[631.74, 711.31, 1519.88, 1497.65, 160.86, 3306.53];[1.0091, 1.0124, 0.977, 0.9575, 1.0415, 0.9572, 1.0036, 0.9761, 1.0239, 1.0167, 1.0519, 0.9745, 0.9865, 0.9511, 0.9778, 1.0189, 1.0378, 0.9539, 1.0435, 1.0678, 1.0207, 1.0938, 0.9613, 0.9378, 0.9111, 1.0748, 1.0327, 0.9972, 1.014, 0.9437, 1.1223, 1.0065]
8;parcialmente_nublado;25,26;0,9383;[294.84, 119.17, 146.66, 114.7, 101.06, 161.86];[1.466, 1.546, 3.585, 3.838, 2.12, 1.812];[432.15, 184.21, 525.83, 440.24, 214.24, 293.33];[0.9445, 1.0876, 1.0468, 1.0636, 1.0361, 0.9435, 0.9738, 1.0245, 0.9389, 1.0356, 0.988, 0.9813, 1.0355, 1.0222, 0.982, 1.058, 0.9459, 1.0308, 1.0297, 0.9845, 1.0163, 0.9374, 1.0462, 0.9908, 0.9739, 1.0525, 0.9648, 0.9296, 0.9222, 1.0303, 0.936, 1.0877]
9;ceu_aberto;94,95;3,5273;[1630.26, 299.12, 39.16, 375.97, 1117.48, 65.26];[2.489, 2.791, 2.003, 3.313, 1.32, 1.225];[4057.88, 834.71, 78.42, 1245.51, 1474.85, 79.97];[0.9983, 1.0885, 0.9687, 1.0906, 1.0354, 0.9719, 1.0316, 1.0486, 1.0311, 0.9215, 0.9636, 0.9876, 0.9963, 1.031, 1.0089, 0.9332, 1.019, 1.0305, 1.028, 1.054, 1.0417, 1.023, 0.9965, 0.917, 1.0215, 1.0104, 1.0136, 0.9362, 0.9459, 1.0527, 0.998, 1.0341]
10;ceu_aberto;34,92;1,2971;[191.18, 54.49, 7.53, 439.59, 272.11, 332.2];[3.985, 1.522, 2.189, 3.275, 3.088, 1.462];[761.81, 82.91, 16.49, 1439.52, 840.28, 485.57];[0.9724, 1.0316, 1.0101, 0.9242, 1.0774, 1.0898, 0.9694, 0.9806, 1.0143, 1.0167, 1.0329, 1.1005, 0.9912, 0.9601, 0.931, 0.9635, 0.9983, 1.0897, 0.9741, 1.0112, 0.9992, 1.0594, 1.1263, 0.9735, 0.9755, 1.0522, 1.0341, 1.0923, 1.0292, 0.982, 1.0295, 1.0554]
