id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_manhã;defeitos_tarde;defeitos_noite;defeitos_madrugada;horas_com_erro_max_control;pen_pct
1;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
2;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
3;nublado;0;0,0;0;0,0;1;1;1;1;0;0
4;nublado;0;0,0;0;0,0;1;1;1;1;0;0
5;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
6;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
7;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
8;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
9;nublado;0;0,0;0;0,0;1;1;1;1;0;0
10;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
11;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
12;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
13;nublado;0;0,0;0;0,0;1;1;1;1;0;0
14;nublado;0;0,0;0;0,0;1;1;1;1;0;0
15;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
16;nublado;0;0,0;0;0,0;1;1;1;1;0;0
17;nublado;0;0,0;0;0,0;1;1;1;1;0;0
18;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
19;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
20;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
21;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
22;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
23;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
24;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
25;nublado;0;0,0;0;0,0;1;1;1;1;0;0
26;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
27;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
28;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
29;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
30;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
31;nublado;0;0,0;0;0,0;1;1;1;1;0;0
32;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
33;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
34;nublado;0;0,0;0;0,0;1;1;1;1;0;0
35;nublado;0;0,0;0;0,0;1;1;1;1;0;0
36;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
37;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
38;nublado;0;0,0;0;0,0;1;1;1;1;0;0
39;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
40;nublado;0;0,0;0;0,0;1;1;1;1;0;0
41;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
42;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
43;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
44;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
45;nublado;0;0,0;0;0,0;1;1;1;1;0;0
46;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
47;nublado;0;0,0;0;0,0;1;1;1;1;0;0
48;ceu_aberto;0;0,0;0;0,0;1;1;1;1;0;0
49;nublado;0;0,0;0;0,0;1;1;1;1;0;0
50;parcialmente_nublado;0;0,0;0;0,0;1;1;1;1;0;0
1;parcialmente_nublado;1;176,9;2;384,78;1;1;1;1;0;10
2;nublado;1;176,9;2;381,09000000000003;1;1;1;1;0;10
3;nublado;1;176,9;2;222,4;1;1;1;1;0;10
4;ceu_aberto;1;176,9;2;315,85;1;1;1;1;0;10
5;nublado;1;176,9;2;471,9;1;1;1;1;0;10
6;parcialmente_nublado;1;176,9;2;307,13;1;1;1;1;0;10
7;parcialmente_nublado;1;176,9;2;357,15999999999997;1;1;1;1;0;10
8;ceu_aberto;1;176,9;2;356,65999999999997;1;1;1;1;0;10
9;ceu_aberto;2;176,9;2;312,74;1;1;1;1;0;10
