id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_manhã;defeitos_tarde;defeitos_noite;defeitos_madrugada;horas_com_erro_max_control;pen_pct
1;parcialmente_nublado;4;707,6;5;875,65;1;1;2;1;0;40
2;ceu_aberto;2;707,6;5;877,13;2;1;2;1;0;40
3;parcialmente_nublado;3;707,6;5;613,46;1;1;1;1;0;40
4;parcialmente_nublado;3;707,6;5;722,92;1;1;1;1;0;40
5;parcialmente_nublado;2;707,6;5;900,84;1;1;1;1;0;40
6;parcialmente_nublado;2;707,6;5;664,04;1;1;1;1;0;40
7;ceu_aberto;3;707,6;5;613,33;1;1;1;1;0;40
8;ceu_aberto;2;707,6;5;775,52;2;1;1;1;0;40
9;ceu_aberto;2;707,6;5;742,39;7;1;1;1;0;40
10;parcialmente_nublado;3;707,6;5;872,1400000000001;1;1;2;1;0;40
11;parcialmente_nublado;2;707,6;5;771,5100000000001;2;1;1;1;0;40
12;parcialmente_nublado;1;707,6;5;705,4;1;1;1;1;0;40
13;nublado;3;707,6;5;729,2400000000001;1;1;1;1;0;40
14;parcialmente_nublado;2;707,6;5;602,24;1;1;1;1;0;40
15;nublado;1;700,0;5;692,41;1;1;1;1;0;40
16;ceu_aberto;3;707,6;5;628,68;1;1;1;1;0;40
17;parcialmente_nublado;4;700,0;5;926,86;1;1;2;1;0;40
18;nublado;3;707,6;5;816,6;1;1;1;1;0;40
19;parcialmente_nublado;1;707,6;5;744,21;2;1;1;1;0;40
20;nublado;2;707,6;5;836,81;1;1;1;1;0;40
21;parcialmente_nublado;5;707,6;5;559,65;1;1;1;1;0;40
22;nublado;4;707,6;5;782,78;1;1;1;1;0;40
23;nublado;2;707,6;5;785,27;1;1;1;1;0;40
24;ceu_aberto;2;707,6;5;831,32;2;2;1;1;0;40
25;ceu_aberto;3;707,6;5;822,8000000000001;1;1;1;1;0;40
26;ceu_aberto;3;707,6;5;988,21;1;1;2;1;0;40
27;parcialmente_nublado;3;707,6;5;808,84;1;1;1;1;0;40
28;parcialmente_nublado;2;707,6;5;1019,2900000000001;1;1;7;1;0;40
29;parcialmente_nublado;3;700,0;5;461,08000000000004;1;1;1;1;0;40
30;parcialmente_nublado;2;707,6;5;844,08;1;1;1;1;0;40
31;ceu_aberto;3;707,6;5;585,01;1;1;1;1;0;40
32;parcialmente_nublado;3;707,6;5;750,3399999999999;1;1;1;1;0;40
33;parcialmente_nublado;2;707,6;5;701,01;2;1;1;1;0;40
34;parcialmente_nublado;1;707,6;5;832,2099999999999;1;1;1;1;0;40
35;nublado;2;707,6;5;803,69;1;1;1;1;0;40
36;ceu_aberto;3;707,6;5;889,1899999999999;2;1;2;1;0;40
37;nublado;2;707,6;5;899,72;1;1;2;1;0;40
38;nublado;2;707,6;5;891,4200000000001;1;1;1;1;0;40
39;nublado;4;707,6;5;672,3800000000001;2;1;1;1;0;40
40;parcialmente_nublado;2;707,6;5;693,57;1;1;1;1;0;40
41;parcialmente_nublado;2;707,6;5;711,4200000000001;1;1;1;1;0;40
42;nublado;1;707,6;5;912,42;2;1;2;1;0;40
43;parcialmente_nublado;4;707,6;5;903,51;1;1;7;1;0;40
44;nublado;2;707,6;5;621,96;1;1;1;1;0;40
45;nublado;3;707,6;5;562,9;1;1;1;1;0;40
46;ceu_aberto;1;707,6;5;931,4000000000001;2;1;2;1;0;40
47;nublado;1;707,6;5;566,25;1;1;1;1;0;40
48;ceu_aberto;4;700,0;5;845,3399999999999;2;1;1;1;0;40
49;nublado;3;707,6;5;827,06;1;1;2;1;0;40
50;ceu_aberto;4;707,6;5;618,64;1;1;1;1;0;40
