id_realizacao;tipo_dia;penetracao_pct;pv_unidades;pv_potencia_total_kw;bess_unidades
1;parcialmente_nublado;10,0;1;176,9;2
2;nublado;10,0;1;176,9;2
3;nublado;10,0;1;176,9;2
4;ceu_aberto;10,0;1;176,9;2
5;nublado;10,0;1;176,9;2
6;parcialmente_nublado;10,0;1;176,9;2
7;parcialmente_nublado;10,0;1;176,9;2
8;ceu_aberto;10,0;1;176,9;2
9;ceu_aberto;10,0;2;176,9;2
10;nublado;10,0;1;176,9;2
11;ceu_aberto;10,0;2;176,9;2
12;parcialmente_nublado;10,0;1;176,9;2
13;nublado;10,0;1;176,9;2
14;ceu_aberto;10,0;2;176,9;2
15;ceu_aberto;10,0;2;176,9;2
16;parcialmente_nublado;10,0;1;176,9;2
17;parcialmente_nublado;10,0;1;176,9;2
18;nublado;10,0;1;176,9;2
19;parcialmente_nublado;10,0;1;176,9;2
20;parcialmente_nublado;10,0;1;176,9;2
21;nublado;10,0;1;176,9;2
22;nublado;10,0;2;176,9;2
23;nublado;10,0;2;176,9;2
24;parcialmente_nublado;10,0;1;176,9;2
25;ceu_aberto;10,0;2;176,9;2
26;parcialmente_nublado;10,0;1;176,9;2
27;nublado;10,0;1;176,9;2
28;ceu_aberto;10,0;1;176,9;2
29;parcialmente_nublado;10,0;1;176,9;2
30;parcialmente_nublado;10,0;1;176,9;2
31;ceu_aberto;10,0;1;176,9;2
32;ceu_aberto;10,0;1;176,9;2
33;nublado;10,0;1;176,9;2
34;nublado;10,0;1;176,9;2
35;nublado;10,0;1;176,9;2
36;parcialmente_nublado;10,0;2;176,9;2
37;nublado;10,0;1;176,9;2
38;parcialmente_nublado;10,0;1;176,9;2
39;parcialmente_nublado;10,0;1;176,9;2
40;parcialmente_nublado;10,0;1;176,9;2
41;nublado;10,0;2;176,9;2
42;parcialmente_nublado;10,0;1;176,9;2
43;ceu_aberto;10,0;1;176,9;2
44;parcialmente_nublado;10,0;1;176,9;2
45;parcialmente_nublado;10,0;1;176,9;2
46;nublado;10,0;1;176,9;2
47;parcialmente_nublado;10,0;1;176,9;2
48;parcialmente_nublado;10,0;1;176,9;2
49;ceu_aberto;10,0;2;176,9;2
50;ceu_aberto;10,0;2;176,9;2
