id_realizacao;tipo_dia;classe;nome;barra;potencia_kw;capacidade_kwh;perfil
1;parcialmente_nublado;PVSystem;PV_barra860;860;297,43;;PV_irr_real1
1;parcialmente_nublado;PVSystem;PV_barra840;840;306,05;;PV_irr_real1
1;parcialmente_nublado;PVSystem;PV_barra844;844;249,74;;PV_irr_real1
1;parcialmente_nublado;PVSystem;PV_barra848;848;277,61;;PV_irr_real1
1;parcialmente_nublado;PVSystem;PV_barra890;890;284,36;;PV_irr_real1
1;parcialmente_nublado;Storage;BESS_barra860;860;107,6;427.77;BESS_fixo
1;parcialmente_nublado;Storage;BESS_barra840;840;104,53;240.35;BESS_fixo
1;parcialmente_nublado;Storage;BESS_barra844;844;98,85;256.21;BESS_fixo
1;parcialmente_nublado;Storage;BESS_barra848;848;100,53;376.96;BESS_fixo
1;parcialmente_nublado;Storage;BESS_barra890;890;83,81;245.53;BESS_fixo
2;ceu_aberto;PVSystem;PV_barra860;860;270,28;;PV_irr_real2
2;ceu_aberto;PVSystem;PV_barra840;840;249,95;;PV_irr_real2
2;ceu_aberto;PVSystem;PV_barra844;844;273,98;;PV_irr_real2
2;ceu_aberto;PVSystem;PV_barra848;848;355,66;;PV_irr_real2
2;ceu_aberto;PVSystem;PV_barra890;890;265,33;;PV_irr_real2
2;ceu_aberto;Storage;BESS_barra860;860;94,96;347.21;BESS_fixo
2;ceu_aberto;Storage;BESS_barra840;840;97,97;325.8;BESS_fixo
2;ceu_aberto;Storage;BESS_barra844;844;89,67;180.05;BESS_fixo
2;ceu_aberto;Storage;BESS_barra848;848;104,03;397.19;BESS_fixo
2;ceu_aberto;Storage;BESS_barra890;890;108,69;392.17;BESS_fixo
3;nublado;PVSystem;PV_barra860;860;295,62;;PV_irr_real3
3;nublado;PVSystem;PV_barra840;840;245,22;;PV_irr_real3
3;nublado;PVSystem;PV_barra844;844;296,76;;PV_irr_real3
3;nublado;PVSystem;PV_barra848;848;312,42;;PV_irr_real3
3;nublado;PVSystem;PV_barra890;890;265,18;;PV_irr_real3
3;nublado;Storage;BESS_barra860;860;91,56;227.13;BESS_fixo
3;nublado;Storage;BESS_barra840;840;95,23;206.57;BESS_fixo
3;nublado;Storage;BESS_barra844;844;113,95;325.85;BESS_fixo
3;nublado;Storage;BESS_barra848;848;80,79;280.12;BESS_fixo
3;nublado;Storage;BESS_barra890;890;113,79;390.99;BESS_fixo
4;parcialmente_nublado;PVSystem;PV_barra860;860;281,28;;PV_irr_real4
4;parcialmente_nublado;PVSystem;PV_barra840;840;264,14;;PV_irr_real4
4;parcialmente_nublado;PVSystem;PV_barra844;844;319,26;;PV_irr_real4
4;parcialmente_nublado;PVSystem;PV_barra848;848;284,33;;PV_irr_real4
4;parcialmente_nublado;PVSystem;PV_barra890;890;266,2;;PV_irr_real4
4;parcialmente_nublado;Storage;BESS_barra860;860;112,87;378.43;BESS_fixo
4;parcialmente_nublado;Storage;BESS_barra840;840;85,14;260.86;BESS_fixo
4;parcialmente_nublado;Storage;BESS_barra844;844;102,91;325.68;BESS_fixo
4;parcialmente_nublado;Storage;BESS_barra848;848;99,53;230.87;BESS_fixo
4;parcialmente_nublado;Storage;BESS_barra890;890;94,88;362.35;BESS_fixo
5;ceu_aberto;PVSystem;PV_barra860;860;271,45;;PV_irr_real5
5;ceu_aberto;PVSystem;PV_barra840;840;285,72;;PV_irr_real5
5;ceu_aberto;PVSystem;PV_barra844;844;250,19;;PV_irr_real5
5;ceu_aberto;PVSystem;PV_barra848;848;304,51;;PV_irr_real5
5;ceu_aberto;PVSystem;PV_barra890;890;303,33;;PV_irr_real5
5;ceu_aberto;Storage;BESS_barra860;860;104,16;288.07;BESS_fixo
5;ceu_aberto;Storage;BESS_barra840;840;87,25;187.82;BESS_fixo
5;ceu_aberto;Storage;BESS_barra844;844;100,92;229.0;BESS_fixo
5;ceu_aberto;Storage;BESS_barra848;848;88,43;290.12;BESS_fixo
5;ceu_aberto;Storage;BESS_barra890;890;114,56;268.62;BESS_fixo
6;parcialmente_nublado;PVSystem;PV_barra860;860;289,34;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra840;840;292,16;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra844;844;262,36;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra848;848;275,25;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra890;890;296,08;;PV_irr_real6
6;parcialmente_nublado;Storage;BESS_barra860;860;114,23;342.79;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra840;840;95,98;359.19;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra844;844;85,18;257.36;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra848;848;103,88;280.83;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra890;890;96,05;332.83;BESS_fixo
7;ceu_aberto;PVSystem;PV_barra860;860;225,94;;PV_irr_real7
7;ceu_aberto;PVSystem;PV_barra840;840;283,76;;PV_irr_real7
7;ceu_aberto;PVSystem;PV_barra844;844;277,46;;PV_irr_real7
7;ceu_aberto;PVSystem;PV_barra848;848;294,45;;PV_irr_real7
7;ceu_aberto;PVSystem;PV_barra890;890;333,58;;PV_irr_real7
7;ceu_aberto;Storage;BESS_barra860;860;87,05;205.35;BESS_fixo
7;ceu_aberto;Storage;BESS_barra840;840;118,81;472.15;BESS_fixo
7;ceu_aberto;Storage;BESS_barra844;844;101,37;383.54;BESS_fixo
7;ceu_aberto;Storage;BESS_barra848;848;97,33;227.52;BESS_fixo
7;ceu_aberto;Storage;BESS_barra890;890;90,75;295.87;BESS_fixo
8;parcialmente_nublado;PVSystem;PV_barra860;860;293,25;;PV_irr_real8
8;parcialmente_nublado;PVSystem;PV_barra840;840;249,0;;PV_irr_real8
8;parcialmente_nublado;PVSystem;PV_barra844;844;287,71;;PV_irr_real8
8;parcialmente_nublado;PVSystem;PV_barra848;848;301,69;;PV_irr_real8
8;parcialmente_nublado;PVSystem;PV_barra890;890;283,55;;PV_irr_real8
8;parcialmente_nublado;Storage;BESS_barra860;860;100,78;347.27;BESS_fixo
8;parcialmente_nublado;Storage;BESS_barra840;840;99,14;232.51;BESS_fixo
8;parcialmente_nublado;Storage;BESS_barra844;844;92,55;267.35;BESS_fixo
8;parcialmente_nublado;Storage;BESS_barra848;848;106,35;225.71;BESS_fixo
8;parcialmente_nublado;Storage;BESS_barra890;890;96,5;338.84;BESS_fixo
9;parcialmente_nublado;PVSystem;PV_barra860;860;282,62;;PV_irr_real9
9;parcialmente_nublado;PVSystem;PV_barra840;840;288,68;;PV_irr_real9
9;parcialmente_nublado;PVSystem;PV_barra844;844;308,58;;PV_irr_real9
9;parcialmente_nublado;PVSystem;PV_barra848;848;275,07;;PV_irr_real9
9;parcialmente_nublado;PVSystem;PV_barra890;890;260,24;;PV_irr_real9
9;parcialmente_nublado;Storage;BESS_barra860;860;89,63;254.62;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra840;840;118,13;417.45;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra844;844;92,48;205.77;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra848;848;83,06;293.86;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra890;890;112,03;384.55;BESS_fixo
10;ceu_aberto;PVSystem;PV_barra860;860;304,9;;PV_irr_real10
10;ceu_aberto;PVSystem;PV_barra840;840;288,2;;PV_irr_real10
10;ceu_aberto;PVSystem;PV_barra844;844;272,79;;PV_irr_real10
10;ceu_aberto;PVSystem;PV_barra848;848;240,93;;PV_irr_real10
10;ceu_aberto;PVSystem;PV_barra890;890;308,37;;PV_irr_real10
10;ceu_aberto;Storage;BESS_barra860;860;110,39;330.93;BESS_fixo
