id_realizacao;tipo_dia;barra;potencia_kw;capacidade_kwh;razao_armazenamento_h
1;ceu_aberto;890;143,87;117,49;0,817
1;ceu_aberto;860;57,97;222,01;3,83
1;ceu_aberto;840;161,2;482,46;2,993
1;ceu_aberto;844;62,34;126,36;2,027
1;ceu_aberto;848;145,86;134,11;0,919
2;parcialmente_nublado;848;140,68;226,98;1,613
2;parcialmente_nublado;890;205,03;171,34;0,836
2;parcialmente_nublado;860;67,03;152,02;2,268
2;parcialmente_nublado;840;53,19;496,76;9,339
2;parcialmente_nublado;844;206,24;403,35;1,956
3;parcialmente_nublado;848;170,96;105,82;0,619
3;parcialmente_nublado;860;194,93;377,51;1,937
3;parcialmente_nublado;840;179,58;171,62;0,956
3;parcialmente_nublado;890;58,2;290,99;5,0
3;parcialmente_nublado;844;67,11;118,6;1,767
4;parcialmente_nublado;844;138,81;420,27;3,028
4;parcialmente_nublado;848;181,68;417,15;2,296
4;parcialmente_nublado;890;120,9;202,01;1,671
4;parcialmente_nublado;840;186,46;339,09;1,819
4;parcialmente_nublado;860;51,35;428,84;8,351
5;parcialmente_nublado;844;184,9;130,37;0,705
5;parcialmente_nublado;890;188,66;370,45;1,964
5;parcialmente_nublado;860;219,92;189,19;0,86
5;parcialmente_nublado;848;247,37;460,79;1,863
5;parcialmente_nublado;840;77,85;172,48;2,216
6;parcialmente_nublado;844;107,18;328,94;3,069
6;parcialmente_nublado;890;245,91;432,57;1,759
6;parcialmente_nublado;840;108,7;494,12;4,546
6;parcialmente_nublado;860;154,44;104,64;0,678
6;parcialmente_nublado;848;242,04;210,16;0,868
7;parcialmente_nublado;890;240,88;392,87;1,631
7;parcialmente_nublado;844;207,33;208,14;1,004
7;parcialmente_nublado;848;53,13;257,43;4,845
7;parcialmente_nublado;840;165,46;255,68;1,545
7;parcialmente_nublado;860;59,01;417,05;7,067
8;parcialmente_nublado;840;164,67;157,06;0,954
8;parcialmente_nublado;844;85,53;253,09;2,959
8;parcialmente_nublado;848;103,9;355,15;3,418
8;parcialmente_nublado;890;68,64;413,86;6,029
8;parcialmente_nublado;860;228,91;111,32;0,486
9;parcialmente_nublado;890;242,18;190,84;0,788
9;parcialmente_nublado;840;167,46;339,75;2,029
9;parcialmente_nublado;848;222,48;413,92;1,86
9;parcialmente_nublado;860;195,63;280,42;1,433
9;parcialmente_nublado;844;57,65;469,64;8,146
10;nublado;844;242,84;344,5;1,419
10;nublado;840;119,82;195,43;1,631
10;nublado;860;235,33;268,62;1,141
10;nublado;848;147,34;111,96;0,76
10;nublado;890;212,44;247,81;1,166
11;ceu_aberto;848;217,8;148,47;0,682
11;ceu_aberto;860;65,11;421,09;6,467
11;ceu_aberto;890;116,33;409,22;3,518
11;ceu_aberto;844;115,9;281,82;2,432
11;ceu_aberto;840;157,82;386,21;2,447
12;ceu_aberto;860;102,01;307,8;3,017
12;ceu_aberto;844;240,39;262,04;1,09
12;ceu_aberto;890;96,33;368,61;3,827
12;ceu_aberto;848;145,83;113,29;0,777
12;ceu_aberto;840;234,95;248,08;1,056
13;nublado;890;212,37;421,44;1,984
13;nublado;844;117,57;394,04;3,352
13;nublado;848;171,48;274,68;1,602
13;nublado;840;72,84;170,09;2,335
13;nublado;860;71,01;216,22;3,045
14;ceu_aberto;860;146,99;293,02;1,993
14;ceu_aberto;848;115,36;373,99;3,242
14;ceu_aberto;840;78,42;302,71;3,86
14;ceu_aberto;844;62,0;337,02;5,436
14;ceu_aberto;890;77,12;360,59;4,676
15;parcialmente_nublado;840;132,09;244,25;1,849
15;parcialmente_nublado;848;195,77;259,65;1,326
15;parcialmente_nublado;860;147,7;212,08;1,436
15;parcialmente_nublado;844;247,09;308,63;1,249
15;parcialmente_nublado;890;62,53;209,08;3,344
16;ceu_aberto;860;65,35;327,36;5,009
16;ceu_aberto;840;176,11;189,99;1,079
16;ceu_aberto;890;220,82;165,46;0,749
16;ceu_aberto;848;190,43;271,3;1,425
16;ceu_aberto;844;98,3;376,29;3,828
17;parcialmente_nublado;890;249,67;147,51;0,591
17;parcialmente_nublado;848;139,39;218,06;1,564
17;parcialmente_nublado;840;197,72;225,12;1,139
17;parcialmente_nublado;844;195,66;410,82;2,1
17;parcialmente_nublado;860;246,52;135,94;0,551
18;nublado;860;223,58;332,57;1,487
18;nublado;848;205,48;116,38;0,566
18;nublado;844;100,59;187,17;1,861
18;nublado;890;248,36;193,28;0,778
18;nublado;840;248,52;178,33;0,718
19;parcialmente_nublado;840;136,31;199,76;1,465
19;parcialmente_nublado;848;245,1;233,46;0,953
19;parcialmente_nublado;844;137,56;301,76;2,194
19;parcialmente_nublado;890;167,71;187,17;1,116
19;parcialmente_nublado;860;238,5;467,49;1,96
20;nublado;844;237,39;264,04;1,112
20;nublado;840;248,68;444,43;1,787
20;nublado;890;95,38;250,33;2,625
20;nublado;860;117,75;254,1;2,158
20;nublado;848;237,02;256,4;1,082
21;nublado;848;197,23;440,03;2,231
21;nublado;860;210,21;401,67;1,911
21;nublado;890;109,16;426,93;3,911
21;nublado;844;89,07;302,55;3,397
21;nublado;840;212,24;131,65;0,62
22;nublado;848;79,43;177,01;2,229
22;nublado;890;168,64;171,64;1,018
22;nublado;844;182,42;188,76;1,035
22;nublado;860;95,28;444,83;4,669
22;nublado;840;208,78;118,49;0,568
23;parcialmente_nublado;840;165,5;125,83;0,76
23;parcialmente_nublado;844;71,51;350,19;4,897
23;parcialmente_nublado;848;116,43;388,84;3,34
23;parcialmente_nublado;860;185,08;221,14;1,195
23;parcialmente_nublado;890;137,67;112,73;0,819
24;nublado;848;112,95;118,44;1,049
24;nublado;844;139,08;325,27;2,339
24;nublado;840;152,04;308,04;2,026
24;nublado;860;80,15;114,3;1,426
24;nublado;890;111,32;126,81;1,139
25;ceu_aberto;844;147,34;309,83;2,103
25;ceu_aberto;860;181,55;453,03;2,495
25;ceu_aberto;890;239,85;289,67;1,208
25;ceu_aberto;840;217,4;228,5;1,051
25;ceu_aberto;848;214,27;312,25;1,457
26;nublado;890;81,63;476,77;5,841
26;nublado;860;67,25;497,12;7,392
26;nublado;840;73,13;475,44;6,501
26;nublado;848;201,78;123,47;0,612
26;nublado;844;173,48;158,58;0,914
27;ceu_aberto;890;118,58;187,62;1,582
27;ceu_aberto;860;246,09;431,0;1,751
27;ceu_aberto;848;194,87;202,49;1,039
27;ceu_aberto;844;135,82;110,82;0,816
27;ceu_aberto;840;161,98;300,46;1,855
28;ceu_aberto;860;201,58;482,69;2,395
28;ceu_aberto;844;99,77;135,28;1,356
28;ceu_aberto;848;56,7;187,87;3,313
28;ceu_aberto;890;213,71;183,59;0,859
28;ceu_aberto;840;239,88;147,05;0,613
29;ceu_aberto;844;156,66;447,86;2,859
29;ceu_aberto;840;84,61;206,04;2,435
29;ceu_aberto;860;229,37;418,75;1,826
29;ceu_aberto;848;230,16;434,01;1,886
29;ceu_aberto;890;92,68;180,4;1,946
30;ceu_aberto;844;236,23;125,18;0,53
30;ceu_aberto;890;162,48;394,18;2,426
30;ceu_aberto;848;80,57;451,46;5,603
30;ceu_aberto;860;171,25;388,86;2,271
30;ceu_aberto;840;228,38;304,38;1,333
31;nublado;844;87,97;450,31;5,119
31;nublado;840;210,39;247,78;1,178
31;nublado;890;52,29;299,1;5,72
31;nublado;848;158,56;416,22;2,625
31;nublado;860;78,57;224,25;2,854
32;parcialmente_nublado;890;236,27;122,28;0,518
32;parcialmente_nublado;848;118,72;486,47;4,098
32;parcialmente_nublado;860;233,45;129,21;0,553
32;parcialmente_nublado;840;192,51;338,13;1,756
32;parcialmente_nublado;844;110,57;184,76;1,671
33;nublado;844;238,18;249,88;1,049
33;nublado;848;134,81;485,6;3,602
33;nublado;860;53,26;477,8;8,971
33;nublado;840;151,72;285,36;1,881
33;nublado;890;167,78;171,72;1,023
34;parcialmente_nublado;860;65,24;489,53;7,504
34;parcialmente_nublado;844;222,25;309,35;1,392
34;parcialmente_nublado;840;188,6;229,78;1,218
34;parcialmente_nublado;890;155,69;105,45;0,677
34;parcialmente_nublado;848;57,62;267,47;4,642
35;nublado;860;223,28;124,9;0,559
35;nublado;844;74,53;252,67;3,39
35;nublado;848;203,39;228,4;1,123
35;nublado;890;124,52;369,26;2,965
35;nublado;840;164,48;378,22;2,299
36;parcialmente_nublado;848;71,17;312,46;4,39
36;parcialmente_nublado;840;246,09;244,0;0,992
36;parcialmente_nublado;890;87,91;139,08;1,582
36;parcialmente_nublado;844;207,66;477,0;2,297
36;parcialmente_nublado;860;116,88;427,08;3,654
37;ceu_aberto;840;73,83;265,67;3,598
37;ceu_aberto;848;76,28;310,6;4,072
37;ceu_aberto;890;139,35;476,52;3,42
37;ceu_aberto;860;185,29;387,18;2,09
37;ceu_aberto;844;135,65;140,55;1,036
38;nublado;840;137,15;252,03;1,838
38;nublado;890;90,3;242,32;2,683
38;nublado;844;136,18;120,36;0,884
38;nublado;860;100,71;445,04;4,419
38;nublado;848;163,55;464,11;2,838
39;parcialmente_nublado;860;110,44;244,33;2,212
39;parcialmente_nublado;844;131,77;185,83;1,41
39;parcialmente_nublado;848;247,99;105,51;0,425
39;parcialmente_nublado;890;243,3;409,08;1,681
39;parcialmente_nublado;840;51,73;258,56;4,998
40;nublado;848;131,53;298,56;2,27
40;nublado;890;219,74;341,34;1,553
40;nublado;840;170,68;199,1;1,167
40;nublado;860;222,77;254,42;1,142
40;nublado;844;123,7;395,17;3,195
41;parcialmente_nublado;844;141,59;264,96;1,871
41;parcialmente_nublado;890;92,45;392,07;4,241
41;parcialmente_nublado;840;50,3;154,16;3,065
41;parcialmente_nublado;848;85,71;391,06;4,563
41;parcialmente_nublado;860;101,46;385,44;3,799
42;nublado;848;172,13;483,02;2,806
42;nublado;844;176,48;412,63;2,338
42;nublado;890;80,24;390,07;4,861
42;nublado;840;176,62;295,09;1,671
42;nublado;860;184,07;280,12;1,522
43;parcialmente_nublado;844;122,01;432,91;3,548
43;parcialmente_nublado;848;193,96;466,26;2,404
43;parcialmente_nublado;860;58,11;367,73;6,328
43;parcialmente_nublado;840;109,21;289,62;2,652
43;parcialmente_nublado;890;189,76;279,35;1,472
44;nublado;840;220,3;489,8;2,223
44;nublado;844;229,6;255,9;1,115
44;nublado;848;187,34;387,22;2,067
44;nublado;860;207,68;419,88;2,022
44;nublado;890;95,13;310,12;3,26
45;parcialmente_nublado;840;112,6;387,13;3,438
45;parcialmente_nublado;844;228,02;104,71;0,459
45;parcialmente_nublado;890;200,6;264,09;1,317
45;parcialmente_nublado;860;182,35;316,23;1,734
45;parcialmente_nublado;848;130,43;231,49;1,775
46;ceu_aberto;844;202,2;283,3;1,401
46;ceu_aberto;860;229,08;205,93;0,899
46;ceu_aberto;840;113,79;134,34;1,181
46;ceu_aberto;848;140,73;193,86;1,378
46;ceu_aberto;890;151,22;289,65;1,915
47;ceu_aberto;848;123,59;404,31;3,271
47;ceu_aberto;890;225,1;358,76;1,594
47;ceu_aberto;844;109,14;264,67;2,425
47;ceu_aberto;860;228,64;428,28;1,873
47;ceu_aberto;840;168,66;104,87;0,622
48;nublado;860;130,95;358,31;2,736
48;nublado;840;79,98;246,48;3,082
48;nublado;848;63,59;226,3;3,559
48;nublado;890;60,55;338,43;5,589
48;nublado;844;152,21;161,38;1,06
49;parcialmente_nublado;848;171,48;322,2;1,879
49;parcialmente_nublado;860;212,43;253,54;1,194
49;parcialmente_nublado;840;204,85;286,02;1,396
49;parcialmente_nublado;844;133,62;495,66;3,709
49;parcialmente_nublado;890;63,2;221,38;3,503
50;ceu_aberto;848;58,9;309,47;5,254
50;ceu_aberto;890;132,81;273,67;2,061
50;ceu_aberto;860;213,85;317,8;1,486
50;ceu_aberto;844;238,26;396,15;1,663
50;ceu_aberto;840;231,42;470,04;2,031
