id_realizacao;tipo_dia;h00;h01;h02;h03;h04;h05;h06;h07;h08;h09;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23
1;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0127;0,0944;0,236;0,4003;0,4491;0,5552;0,7921;0,6169;0,5609;0,5744;0,3931;0,1683;0,0422;0,0043;0,0;0,0002;0,0016;0,0015;0,0016
2;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0037;0,0484;0,2015;0,554;0,7619;1,0;0,8212;1,0;1,0;0,7881;0,5407;0,2177;0,0535;0,0025;0,0003;0,0;0,0;0,0;0,0001
3;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0032;0,0438;0,1986;0,3804;0,635;0,8325;0,6655;0,9732;1,0;0,8061;0,5072;0,2609;0,043;0,0017;0,0003;0,0;0,0;0,0;0,0001
4;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0085;0,0897;0,2787;0,4907;0,5114;0,6157;0,6359;0,6521;0,6078;0,5807;0,3411;0,1989;0,0527;0,0042;0,0;0,0002;0,0017;0,0016;0,002
5;parcialmente_nublado;0,0008;0,0007;0,001;0,001;0,0009;0,0038;0,0383;0,1964;0,4441;0,5503;0,7798;0,7142;0,6566;0,7863;0,468;0,4182;0,2108;0,0465;0,0043;0,0008;0,0007;0,0004;0,0004;0,0004
6;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0029;0,0524;0,1897;0,5541;0,653;0,9612;0,9934;0,8119;0,9547;0,8606;0,3923;0,3112;0,0535;0,0019;0,0004;0,0;0,0;0,0;0,0001
7;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0138;0,0828;0,282;0,4508;0,5655;0,523;0,7848;0,7109;0,4331;0,4146;0,3173;0,1547;0,0476;0,0033;0,0;0,0002;0,0015;0,0017;0,0018
8;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0031;0,0338;0,1976;0,4716;0,9031;0,9262;0,9578;0,8708;0,8437;0,8209;0,5381;0,1865;0,0505;0,0025;0,0004;0,0;0,0;0,0;0,0001
9;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0118;0,0904;0,2471;0,4854;0,5244;0,6722;0,7175;0,7399;0,5647;0,4324;0,3412;0,1664;0,0576;0,0039;0,0;0,0002;0,0013;0,0019;0,0014
10;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0033;0,0403;0,2448;0,4862;0,5855;0,7416;1,0;1,0;0,9726;0,8795;0,4645;0,211;0,0442;0,002;0,0002;0,0;0,0;0,0;0,0001
11;parcialmente_nublado;0,0011;0,0007;0,001;0,0012;0,0008;0,0044;0,0583;0,1798;0,3351;0,617;0,8393;0,9229;0,89;0,7063;0,4793;0,416;0,2032;0,0517;0,0051;0,0009;0,0006;0,0004;0,0004;0,0004
12;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0028;0,0363;0,2256;0,5694;0,6048;1,0;0,9649;0,7502;0,7598;0,7236;0,5085;0,2056;0,0476;0,002;0,0003;0,0;0,0;0,0;0,0001
13;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0035;0,0529;0,1821;0,4677;0,6911;0,744;1,0;1,0;0,9583;0,6689;0,4523;0,2302;0,0398;0,0017;0,0003;0,0;0,0;0,0;0,0001
14;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0125;0,0737;0,2827;0,4179;0,4427;0,6626;0,688;0,6066;0,5894;0,5573;0,2862;0,1819;0,0409;0,0044;0,0;0,0002;0,0014;0,0017;0,0018
15;parcialmente_nublado;0,001;0,001;0,001;0,0011;0,0011;0,0033;0,057;0,2058;0,3429;0,5971;0,7912;0,9315;0,8406;0,8122;0,6071;0,393;0,208;0,0386;0,006;0,0008;0,0007;0,0004;0,0004;0,0003
16;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0103;0,0854;0,2639;0,3365;0,463;0,6526;0,7798;0,5311;0,7015;0,4599;0,2666;0,2319;0,0511;0,0043;0,0;0,0002;0,0015;0,0015;0,0018
17;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0115;0,0893;0,242;0,4261;0,4308;0,6978;0,6724;0,5614;0,6161;0,585;0,2494;0,1693;0,0575;0,0038;0,0;0,0002;0,0018;0,0016;0,002
18;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0026;0,0513;0,2109;0,5064;0,773;0,9139;0,6455;1,0;0,9682;0,7395;0,5094;0,2596;0,0466;0,0021;0,0003;0,0;0,0;0,0;0,0001
19;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0027;0,042;0,204;0,4707;0,5364;1,0;0,7532;0,9426;0,9749;0,7343;0,4541;0,181;0,0443;0,0021;0,0004;0,0;0,0;0,0;0,0001
20;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0028;0,0504;0,1845;0,476;0,6537;0,8123;0,9585;1,0;0,9318;0,6757;0,504;0,2726;0,0486;0,0021;0,0003;0,0;0,0;0,0;0,0001
21;parcialmente_nublado;0,0011;0,0008;0,0011;0,0012;0,0008;0,0043;0,0507;0,2117;0,3995;0,5501;0,6919;0,7758;0,8165;0,6079;0,6065;0,3525;0,1645;0,0527;0,0045;0,0008;0,0006;0,0005;0,0003;0,0004
22;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0035;0,0495;0,1913;0,4004;0,6645;0,8266;1,0;1,0;1,0;0,8253;0,5797;0,2318;0,0485;0,0022;0,0003;0,0;0,0;0,0;0,0001
23;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0027;0,048;0,1941;0,5313;0,6315;1,0;1,0;0,867;0,936;0,8239;0,5671;0,2353;0,0489;0,0019;0,0003;0,0;0,0;0,0;0,0001
24;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0026;0,0449;0,1878;0,4216;0,7117;0,6667;0,9637;0,871;1,0;0,8975;0,4725;0,254;0,0465;0,0025;0,0003;0,0;0,0;0,0;0,0001
25;nublado;0,0005;0,0;0,0;0,0001;0,0;0,012;0,0867;0,284;0,4031;0,6912;0,5054;0,7007;0,6134;0,5524;0,4879;0,3729;0,1563;0,0626;0,0039;0,0;0,0002;0,0018;0,0014;0,0018
26;nublado;0,0006;0,0;0,0;0,0001;0,0;0,0111;0,0975;0,2258;0,432;0,5292;0,7804;0,7939;0,6971;0,6141;0,4683;0,3361;0,195;0,0497;0,0039;0,0;0,0002;0,0017;0,0017;0,0019
27;nublado;0,0004;0,0;0,0;0,0001;0,0;0,0106;0,0798;0,2325;0,3963;0,5846;0,6273;0,6088;0,6571;0,5421;0,3967;0,3702;0,1825;0,0494;0,0038;0,0;0,0002;0,0015;0,0017;0,0016
28;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0029;0,0408;0,2192;0,4282;0,6533;0,7963;0,92;0,8983;0,8761;0,6925;0,4933;0,2743;0,0629;0,0023;0,0003;0,0;0,0;0,0;0,0001
29;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0109;0,0733;0,2814;0,3986;0,5696;0,7163;0,5583;0,6898;0,6152;0,4751;0,3436;0,1901;0,0434;0,0043;0,0;0,0002;0,0016;0,0013;0,0017
30;parcialmente_nublado;0,0012;0,0007;0,0012;0,0012;0,0007;0,005;0,0632;0,1951;0,4015;0,5816;0,8431;0,9075;0,8193;0,6799;0,5958;0,4393;0,201;0,0565;0,0062;0,0007;0,0005;0,0004;0,0004;0,0004
31;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0138;0,0896;0,2842;0,3644;0,6722;0,6274;0,648;0,748;0,7639;0,501;0,3108;0,1713;0,0572;0,0044;0,0;0,0002;0,0018;0,0019;0,002
32;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0111;0,0891;0,2372;0,4485;0,6063;0,5469;0,7774;0,5685;0,624;0,3887;0,3495;0,192;0,0498;0,0046;0,0;0,0002;0,0015;0,0015;0,002
33;nublado;0,0004;0,0;0,0;0,0001;0,0;0,0111;0,0801;0,2567;0,3557;0,4426;0,5334;0,7499;0,8195;0,686;0,4292;0,3507;0,1692;0,0448;0,0045;0,0;0,0002;0,0017;0,0015;0,0018
34;parcialmente_nublado;0,0011;0,001;0,0012;0,0012;0,0007;0,0042;0,0531;0,1858;0,3748;0,4752;0,6817;0,9341;0,9588;0,784;0,6428;0,413;0,2113;0,041;0,0058;0,0007;0,0005;0,0004;0,0005;0,0004
35;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0036;0,0488;0,2267;0,4368;0,6627;1,0;1,0;0,9676;0,8192;0,742;0,4951;0,2475;0,0426;0,002;0,0003;0,0;0,0;0,0;0,0001
36;nublado;0,0004;0,0;0,0;0,0001;0,0;0,0101;0,1024;0,2295;0,4613;0,6117;0,6426;0,7082;0,7597;0,7277;0,494;0,3625;0,2101;0,0532;0,0034;0,0;0,0002;0,0019;0,0017;0,002
37;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0146;0,0753;0,246;0,4158;0,4553;0,7683;0,6623;0,5232;0,5717;0,418;0,3107;0,1742;0,0579;0,0051;0,0;0,0002;0,0018;0,0016;0,0015
38;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0114;0,0731;0,238;0,4993;0,6497;0,6681;0,7997;0,6961;0,7403;0,5361;0,3346;0,14;0,0451;0,0043;0,0;0,0002;0,0019;0,0014;0,0021
39;parcialmente_nublado;0,001;0,0008;0,0012;0,0011;0,0006;0,0046;0,0446;0,2157;0,3872;0,5956;0,8599;0,7541;0,7963;0,7742;0,5119;0,4104;0,2088;0,0388;0,0054;0,0009;0,0006;0,0003;0,0003;0,0004
40;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0028;0,0408;0,2725;0,5051;0,67;0,8204;1,0;0,8188;0,9658;0,4937;0,3992;0,2234;0,0434;0,0021;0,0003;0,0;0,0;0,0;0,0001
41;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0033;0,0478;0,2129;0,4418;0,7686;1,0;1,0;0,9697;0,9948;0,6459;0,4478;0,1647;0,0521;0,0021;0,0003;0,0;0,0;0,0;0,0001
42;parcialmente_nublado;0,0006;0,0008;0,0012;0,001;0,0007;0,0045;0,0595;0,2555;0,4847;0,6352;0,7481;0,9875;0,8939;0,8593;0,6153;0,4081;0,2071;0,0428;0,005;0,0008;0,0005;0,0004;0,0004;0,0004
43;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0038;0,047;0,2071;0,3611;0,6382;0,9987;0,9449;0,9974;1,0;0,7658;0,3983;0,2196;0,0539;0,0021;0,0003;0,0;0,0;0,0;0,0001
44;parcialmente_nublado;0,001;0,0009;0,0009;0,001;0,0009;0,005;0,0577;0,1667;0,4058;0,4759;0,7504;0,9735;0,8832;0,8722;0,4873;0,2726;0,1917;0,053;0,0055;0,0008;0,0006;0,0005;0,0005;0,0004
45;nublado;0,0004;0,0;0,0;0,0001;0,0;0,011;0,0759;0,2848;0,4494;0,5646;0,8136;0,6655;0,691;0,6036;0,3674;0,3532;0,1813;0,0537;0,0039;0,0;0,0002;0,0014;0,0015;0,0017
46;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0034;0,0407;0,1897;0,4985;0,6241;0,8351;0,9071;1,0;0,651;0,8811;0,4843;0,2577;0,0456;0,002;0,0003;0,0;0,0;0,0;0,0001
47;parcialmente_nublado;0,0008;0,001;0,0013;0,001;0,0007;0,005;0,0407;0,1915;0,3725;0,5685;0,7302;0,7834;0,7143;0,7451;0,5083;0,3738;0,1948;0,0572;0,0048;0,0007;0,0005;0,0005;0,0004;0,0004
48;parcialmente_nublado;0,0009;0,0008;0,0012;0,001;0,0009;0,0037;0,06;0,1708;0,3879;0,6187;0,7223;0,5944;0,8719;0,9129;0,5589;0,4225;0,1611;0,0541;0,006;0,0009;0,0006;0,0004;0,0004;0,0004
49;parcialmente_nublado;0,0009;0,0007;0,0013;0,0012;0,0009;0,005;0,0512;0,2054;0,421;0,5857;0,7243;0,9399;0,9914;0,6982;0,6785;0,4823;0,1986;0,0605;0,0048;0,0008;0,0006;0,0004;0,0004;0,0003
50;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0099;0,0894;0,2687;0,4327;0,6097;0,6553;0,6272;0,69;0,6174;0,4322;0,3615;0,1826;0,0538;0,0045;0,0;0,0002;0,0015;0,0015;0,0022
