id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_dia;defeitos_tarde;defeitos_noite;pen_pct
1;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
2;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
3;nublado;0;0,0;0;0,0;1;1;1;0
4;nublado;0;0,0;0;0,0;1;1;1;0
5;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
6;ceu_aberto;0;0,0;0;0,0;1;1;1;0
7;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
8;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
9;nublado;0;0,0;0;0,0;1;1;1;0
10;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
11;ceu_aberto;0;0,0;0;0,0;1;1;1;0
12;ceu_aberto;0;0,0;0;0,0;1;1;1;0
13;nublado;0;0,0;0;0,0;1;1;1;0
14;nublado;0;0,0;0;0,0;1;1;1;0
15;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
16;nublado;0;0,0;0;0,0;1;1;1;0
17;nublado;0;0,0;0;0,0;1;1;1;0
18;ceu_aberto;0;0,0;0;0,0;1;1;1;0
19;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
20;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
21;ceu_aberto;0;0,0;0;0,0;1;1;1;0
22;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
23;ceu_aberto;0;0,0;0;0,0;1;1;1;0
24;ceu_aberto;0;0,0;0;0,0;1;1;1;0
25;nublado;0;0,0;0;0,0;1;1;1;0
26;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
27;ceu_aberto;0;0,0;0;0,0;1;1;1;0
28;ceu_aberto;0;0,0;0;0,0;1;1;1;0
29;ceu_aberto;0;0,0;0;0,0;1;1;1;0
30;ceu_aberto;0;0,0;0;0,0;1;1;1;0
31;nublado;0;0,0;0;0,0;1;1;1;0
32;ceu_aberto;0;0,0;0;0,0;1;1;1;0
33;ceu_aberto;0;0,0;0;0,0;1;1;1;0
34;nublado;0;0,0;0;0,0;1;1;1;0
35;nublado;0;0,0;0;0,0;1;1;1;0
36;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
37;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
38;nublado;0;0,0;0;0,0;1;1;1;0
39;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
40;nublado;0;0,0;0;0,0;1;1;1;0
41;ceu_aberto;0;0,0;0;0,0;1;1;1;0
42;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
43;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
44;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
45;nublado;0;0,0;0;0,0;1;1;1;0
46;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
47;nublado;0;0,0;0;0,0;1;1;1;0
48;ceu_aberto;0;0,0;0;0,0;1;1;1;0
49;nublado;0;0,0;0;0,0;1;1;1;0
50;parcialmente_nublado;0;0,0;0;0,0;1;1;1;0
1;parcialmente_nublado;1;220,0;2;243,48;1;1;1;10
2;parcialmente_nublado;1;220,0;2;380,03999999999996;1;1;1;10
3;nublado;1;220,0;2;353,38;1;1;1;10
4;parcialmente_nublado;2;220,0;2;184,92000000000002;1;1;1;10
5;nublado;1;220,0;2;274,99;1;1;1;10
6;nublado;3;220,0;2;318,76;1;1;1;10
7;nublado;1;220,0;2;285,07;1;1;1;10
8;ceu_aberto;1;220,0;2;127,86000000000001;1;1;1;10
9;parcialmente_nublado;2;220,0;2;297,95;1;1;1;10
10;ceu_aberto;2;220,0;2;128,3;1;1;1;10
11;ceu_aberto;1;220,0;2;409,34000000000003;1;1;1;10
12;nublado;1;220,0;2;289,23;1;1;1;10
13;ceu_aberto;2;220,0;2;333,97;1;1;1;10
14;ceu_aberto;1;220,0;2;236,79999999999998;1;1;1;10
15;nublado;2;220,0;2;273,09000000000003;1;1;1;10
16;parcialmente_nublado;1;220,0;2;221,87;1;1;1;10
17;ceu_aberto;1;220,0;2;290,57;1;1;1;10
18;nublado;1;220,0;2;388,17;1;1;1;10
19;parcialmente_nublado;2;220,0;2;294,95000000000005;1;1;1;10
20;ceu_aberto;2;220,0;2;314,07;1;1;1;10
21;ceu_aberto;1;220,0;2;232,54999999999998;1;1;1;10
22;nublado;1;220,0;2;429,34000000000003;1;1;1;10
23;nublado;1;220,0;2;387,78999999999996;1;1;1;10
24;parcialmente_nublado;1;220,0;2;237,09;1;1;1;10
25;nublado;1;220,0;2;421,0;1;1;1;10
26;parcialmente_nublado;1;220,0;2;297,64;1;1;1;10
27;parcialmente_nublado;1;220,0;2;192,35;1;1;1;10
28;nublado;1;220,0;2;281,38;1;1;1;10
29;parcialmente_nublado;1;220,0;2;366,34000000000003;1;1;1;10
30;parcialmente_nublado;1;220,0;2;285,94;1;1;1;10
31;nublado;3;220,0;2;341,33;1;1;1;10
32;parcialmente_nublado;1;220,0;2;410,39;1;1;1;10
33;parcialmente_nublado;1;220,0;2;213,72000000000003;1;1;1;10
34;parcialmente_nublado;1;220,0;2;327,36;1;1;1;10
35;ceu_aberto;1;220,0;2;288,09000000000003;1;1;1;10
36;parcialmente_nublado;1;220,0;2;273,76;1;1;1;10
37;ceu_aberto;1;220,0;2;364,09000000000003;1;1;1;10
38;nublado;1;220,0;2;303,27;1;1;1;10
39;parcialmente_nublado;2;220,0;2;157,51;1;1;1;10
40;ceu_aberto;1;220,0;2;343,98;1;1;1;10
41;parcialmente_nublado;1;220,0;2;291,07;1;1;1;10
42;parcialmente_nublado;2;220,0;2;307,3;1;1;1;10
43;nublado;1;220,0;2;278,7;1;1;1;10
44;nublado;1;220,0;2;246,44;1;1;1;10
45;parcialmente_nublado;1;220,0;2;231,99;1;1;1;10
46;ceu_aberto;2;220,0;2;339,71000000000004;1;1;1;10
47;parcialmente_nublado;1;220,0;2;139,15;1;1;1;10
48;parcialmente_nublado;1;220,0;2;184,73;1;1;1;10
49;nublado;1;220,0;2;334,53999999999996;1;1;1;10
50;ceu_aberto;1;220,0;2;474,35;1;1;1;10
1;ceu_aberto;1;440,0;4;570,0;1;8;1;20
2;nublado;2;440,0;4;753,8399999999999;1;9;1;20
3;parcialmente_nublado;2;440,0;4;631,38;1;6;1;20
4;nublado;1;440,0;4;561,28;1;7;1;20
5;ceu_aberto;1;440,0;4;610,07;1;9;1;20
6;ceu_aberto;3;440,0;4;551,52;1;7;1;20
7;parcialmente_nublado;2;440,0;4;574,8199999999999;1;8;1;20
8;parcialmente_nublado;1;440,0;4;555,5699999999999;1;1;1;20
9;parcialmente_nublado;3;440,0;4;614,8;1;9;1;20
10;ceu_aberto;2;440,0;4;601,97;1;8;1;20
11;nublado;1;440,0;4;503,28;1;2;1;20
12;ceu_aberto;2;440,0;4;664,34;1;2;1;20
13;parcialmente_nublado;1;440,0;4;533,48;1;7;1;20
14;nublado;3;440,0;4;637,98;1;9;1;20
15;ceu_aberto;2;440,0;4;725,63;1;4;1;20
16;parcialmente_nublado;2;440,0;4;728,15;1;9;1;20
17;ceu_aberto;1;440,0;4;534,77;1;7;1;20
18;ceu_aberto;3;440,0;4;393,24;1;1;1;20
19;parcialmente_nublado;1;440,0;4;608,8;1;3;1;20
20;nublado;3;440,0;4;437,18;1;1;1;20
21;ceu_aberto;1;440,0;4;688,68;1;9;1;20
22;nublado;3;440,0;4;513,27;1;5;1;20
23;ceu_aberto;2;440,0;4;472,40999999999997;1;1;1;20
24;nublado;2;440,0;4;585,21;1;7;1;20
25;nublado;2;440,0;4;744,74;1;5;1;20
26;ceu_aberto;1;440,0;4;693,8299999999999;1;9;1;20
27;ceu_aberto;3;440,0;4;590,86;1;9;1;20
28;ceu_aberto;1;440,0;4;899,33;1;9;1;20
29;parcialmente_nublado;1;440,0;4;681,64;1;9;1;20
30;ceu_aberto;2;440,0;4;696,28;1;1;1;20
31;nublado;2;440,0;4;742,95;1;9;1;20
32;nublado;1;440,0;4;619,9300000000001;1;10;1;20
33;ceu_aberto;3;440,0;4;852,99;1;9;1;20
34;ceu_aberto;1;440,0;4;587,4;1;3;1;20
35;parcialmente_nublado;2;440,0;4;526,74;1;1;1;20
36;parcialmente_nublado;1;440,0;4;769,18;1;9;1;20
37;parcialmente_nublado;2;440,0;4;305,62;1;1;1;20
38;ceu_aberto;1;440,0;4;755,5;1;9;1;20
39;nublado;3;440,0;4;735,69;1;9;1;20
40;parcialmente_nublado;2;440,0;4;705,04;1;7;1;20
41;parcialmente_nublado;2;440,0;4;618,11;1;1;1;20
42;ceu_aberto;1;440,0;4;591,54;1;8;1;20
43;nublado;2;440,0;4;420,5;1;1;1;20
44;nublado;2;440,0;4;562,42;1;1;1;20
45;parcialmente_nublado;1;440,0;4;589,6;1;8;1;20
46;nublado;2;440,0;4;634,01;1;9;1;20
47;parcialmente_nublado;1;440,0;4;624,91;1;5;1;20
48;ceu_aberto;2;440,0;4;690,44;1;9;1;20
49;ceu_aberto;1;440,0;4;620,26;1;3;1;20
50;parcialmente_nublado;1;440,0;4;555,97;1;6;1;20
1;nublado;2;660,0;6;904,65;1;9;1;30
2;ceu_aberto;3;660,0;6;730,78;1;9;1;30
3;parcialmente_nublado;2;660,0;6;876,6299999999999;1;9;1;30
4;nublado;3;660,0;6;848,44;1;9;1;30
5;parcialmente_nublado;3;660,0;6;876,1400000000001;1;9;1;30
6;nublado;1;660,0;6;1168,3600000000001;1;9;1;30
7;nublado;4;660,0;6;1036,5700000000002;1;9;1;30
8;ceu_aberto;3;660,0;6;778,75;3;5;1;30
9;nublado;3;660,0;6;721,2;1;9;1;30
10;parcialmente_nublado;2;660,0;6;691,94;1;7;1;30
11;parcialmente_nublado;2;660,0;6;880,15;1;9;1;30
12;parcialmente_nublado;3;660,0;6;940,08;1;9;1;30
13;ceu_aberto;2;660,0;6;903,71;1;9;1;30
14;nublado;1;660,0;6;890,62;1;9;1;30
15;parcialmente_nublado;2;660,0;6;586,03;1;8;1;30
16;nublado;4;660,0;6;750,6800000000001;1;9;1;30
17;nublado;2;660,0;6;729,49;1;9;1;30
18;parcialmente_nublado;2;660,0;6;1054,73;1;9;1;30
19;parcialmente_nublado;2;660,0;6;941,0500000000002;1;10;1;30
20;parcialmente_nublado;4;660,0;6;1164,18;1;9;1;30
21;ceu_aberto;2;660,0;6;746,1700000000001;1;9;1;30
22;nublado;4;660,0;6;716,27;1;3;1;30
23;ceu_aberto;2;660,0;6;1061,73;7;9;1;30
24;parcialmente_nublado;3;660,0;6;1003,1199999999999;1;9;1;30
25;ceu_aberto;2;660,0;6;883,22;1;5;1;30
26;parcialmente_nublado;2;660,0;6;956,26;1;9;1;30
27;parcialmente_nublado;1;660,0;6;933,28;3;9;1;30
28;ceu_aberto;2;660,0;6;1150,59;7;9;1;30
29;parcialmente_nublado;1;660,0;6;783,27;1;9;1;30
30;nublado;2;660,0;6;901,17;1;9;1;30
31;parcialmente_nublado;4;660,0;6;860,69;1;9;1;30
32;ceu_aberto;2;660,0;6;1103,6599999999999;2;9;1;30
33;parcialmente_nublado;3;660,0;6;957,19;1;9;1;30
34;nublado;3;660,0;6;933,04;1;9;1;30
35;ceu_aberto;2;660,0;6;910,98;5;9;1;30
36;ceu_aberto;2;660,0;6;959,08;7;9;1;30
37;parcialmente_nublado;4;660,0;6;757,8;1;9;1;30
38;parcialmente_nublado;5;660,0;6;782,9000000000001;1;9;1;30
39;parcialmente_nublado;3;660,0;6;917,83;1;9;1;30
40;nublado;3;660,0;6;977,9000000000001;1;8;1;30
41;parcialmente_nublado;2;660,0;6;941,81;1;9;1;30
42;ceu_aberto;2;660,0;6;1066,2399999999998;7;9;1;30
43;nublado;3;660,0;6;988,02;1;9;1;30
44;nublado;3;660,0;6;1069,31;1;9;1;30
45;nublado;1;660,0;6;952,4600000000002;1;9;1;30
46;ceu_aberto;2;660,0;6;959,69;1;9;1;30
47;parcialmente_nublado;2;660,0;6;934,81;1;9;1;30
48;nublado;2;660,0;6;911,5999999999999;1;9;1;30
49;nublado;1;660,0;6;957,1200000000001;1;9;1;30
50;nublado;2;660,0;6;1096,37;1;9;1;30
1;parcialmente_nublado;3;880,0;8;1295,62;3;13;1;40
2;nublado;3;880,0;8;1012,99;1;9;1;40
3;nublado;2;880,0;8;1213,19;1;9;1;40
4;nublado;3;880,0;8;875,26;1;9;1;40
5;ceu_aberto;3;880,0;8;1523,92;9;11;1;40
6;parcialmente_nublado;2;880,0;8;1323,49;7;9;1;40
7;nublado;3;880,0;8;1260,0500000000002;1;10;1;40
8;nublado;1;880,0;8;1163,9;1;10;1;40
9;parcialmente_nublado;4;880,0;8;1050,21;7;9;1;40
10;nublado;3;880,0;8;1051,31;1;9;1;40
11;ceu_aberto;2;880,0;8;1276,02;9;10;1;40
12;parcialmente_nublado;2;880,0;8;1234,0700000000002;1;9;1;40
13;ceu_aberto;2;880,0;8;1313,8600000000001;9;10;1;40
14;nublado;2;880,0;8;1104,54;1;9;1;40
15;ceu_aberto;3;880,0;8;1081,4299999999998;8;9;1;40
