id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_dia;defeitos_tarde;defeitos_noite;pen_pct
1;nublado;10;2420,0;22;3106,29;9;36;1;110
2;nublado;6;2420,0;22;3545,75;11;36;1;110
3;nublado;7;2420,0;22;2914,4799999999996;5;36;1;110
4;parcialmente_nublado;7;2420,0;22;3631,0299999999993;34;35;1;110
5;nublado;5;2420,0;22;3047,14;9;36;1;110
6;nublado;4;2420,0;22;3809,06;20;35;1;110
7;nublado;6;2420,0;22;3196,2199999999993;25;36;1;110
8;ceu_aberto;6;2420,0;22;3405,63;34;36;1;110
9;nublado;6;2420,0;22;3579,41;34;35;1;110
10;nublado;6;2420,0;22;2947,7099999999996;8;36;1;110
11;ceu_aberto;9;2420,0;22;2706,3799999999997;32;35;1;110
12;ceu_aberto;10;2420,0;22;2976,95;36;36;1;110
13;ceu_aberto;9;2420,0;22;3515,4100000000003;34;35;1;110
14;nublado;6;2420,0;22;3166,1799999999994;10;36;1;110
15;nublado;8;2420,0;22;3378,02;7;36;1;110
16;nublado;6;2420,0;22;3307,77;9;35;1;110
17;nublado;7;2420,0;22;3711,4999999999995;2;35;1;110
18;ceu_aberto;5;2420,0;22;3436,51;35;35;1;110
19;ceu_aberto;5;2420,0;22;2974,54;36;35;1;110
20;nublado;7;2420,0;22;3087,95;5;36;1;110
21;parcialmente_nublado;7;2420,0;22;3427,6800000000003;19;35;1;110
22;ceu_aberto;9;2420,0;22;3360,32;35;36;1;110
23;parcialmente_nublado;6;2420,0;22;3619,56;32;35;1;110
24;nublado;5;2420,0;22;3030,4199999999996;19;36;1;110
25;ceu_aberto;7;2420,0;22;3297,9100000000003;35;36;1;110
26;parcialmente_nublado;6;2420,0;22;3112,2299999999996;20;36;1;110
27;parcialmente_nublado;9;2420,0;22;3397,6000000000004;30;36;1;110
28;nublado;4;2420,0;22;3092,3;33;35;1;110
29;ceu_aberto;7;2420,0;22;2688,2000000000003;35;36;1;110
30;nublado;10;2420,0;22;3342,5899999999997;10;36;1;110
31;parcialmente_nublado;9;2420,0;22;3416,8399999999992;13;36;1;110
32;nublado;8;2420,0;22;3248,14;5;36;1;110
33;nublado;12;2420,0;22;3369,1199999999994;29;36;1;110
34;parcialmente_nublado;7;2420,0;22;3247,16;34;36;1;110
35;nublado;6;2420,0;22;3448,2799999999993;1;35;1;110
36;nublado;5;2420,0;22;3553,0800000000004;7;35;1;110
37;nublado;6;2420,0;22;3098,77;11;36;1;110
38;nublado;8;2420,0;22;3058,63;7;36;1;110
39;parcialmente_nublado;4;2420,0;22;3163,2599999999998;9;36;1;110
40;nublado;8;2420,0;22;3684,0299999999997;7;35;1;110
41;parcialmente_nublado;5;2420,0;22;3060,0800000000004;8;35;1;110
42;ceu_aberto;5;2420,0;22;3214,07;34;35;1;110
43;ceu_aberto;8;2420,0;22;3160,0199999999995;34;35;1;110
44;ceu_aberto;11;2420,0;22;3081,7900000000004;35;35;1;110
45;ceu_aberto;6;2420,0;22;3502,719999999999;34;35;1;110
46;parcialmente_nublado;9;2420,0;22;3398,5699999999997;34;36;1;110
47;parcialmente_nublado;5;2420,0;22;3374,7600000000007;36;36;1;110
48;nublado;6;2420,0;22;3017,25;28;36;1;110
49;ceu_aberto;6;2420,0;22;3368,79;35;35;1;110
50;parcialmente_nublado;7;2420,0;22;3233,5000000000005;34;36;1;110
