id_realizacao;tipo_dia;barra;tipo_carga;potencia_kw;capacidade_kwh;razao_armazenamento_h
1;parcialmente_nublado;30;industrial;93,01;443,98;4,773
1;parcialmente_nublado;22;comercial;235,27;353,68;1,503
1;parcialmente_nublado;1;residencial;147,49;424,55;2,879
1;parcialmente_nublado;16;comercial;173,42;431,06;2,486
2;ceu_aberto;33;industrial;133,29;101,9;0,764
2;ceu_aberto;32;industrial;227,97;201,28;0,883
2;ceu_aberto;12;comercial;171,69;321,9;1,875
2;ceu_aberto;28;industrial;152,65;198,56;1,301
3;nublado;31;industrial;181,06;280,73;1,55
3;nublado;1;residencial;194,98;422,79;2,168
3;nublado;34;industrial;114,02;363,47;3,188
3;nublado;10;residencial;158,69;141,23;0,89
4;nublado;22;comercial;162,92;108,13;0,664
4;nublado;3;residencial;229,45;452,14;1,971
4;nublado;23;industrial;74,94;439,61;5,866
4;nublado;24;industrial;81,38;197,12;2,422
5;nublado;33;industrial;137,22;107,0;0,78
5;nublado;24;industrial;90,36;148,05;1,638
5;nublado;16;comercial;209,11;306,17;1,464
5;nublado;34;industrial;107,87;469,84;4,356
6;parcialmente_nublado;15;comercial;192,9;214,78;1,113
6;parcialmente_nublado;30;industrial;120,58;376,95;3,126
6;parcialmente_nublado;7;residencial;112,48;218,74;1,945
6;parcialmente_nublado;23;industrial;138,44;365,39;2,639
7;nublado;19;comercial;169,19;442,16;2,613
7;nublado;13;comercial;184,72;452,51;2,45
7;nublado;5;residencial;195,74;283,08;1,446
7;nublado;21;comercial;104,11;463,64;4,453
8;ceu_aberto;33;industrial;239,98;363,98;1,517
8;ceu_aberto;12;comercial;70,08;338,63;4,832
8;ceu_aberto;3;residencial;201,02;282,29;1,404
8;ceu_aberto;17;comercial;169,85;264,13;1,555
9;nublado;32;industrial;98,54;185,82;1,886
9;nublado;33;industrial;149,58;447,84;2,994
9;nublado;28;industrial;155,67;416,74;2,677
9;nublado;16;comercial;144,89;400,47;2,764
10;parcialmente_nublado;28;industrial;97,11;393,1;4,048
10;parcialmente_nublado;33;industrial;164,53;272,54;1,656
10;parcialmente_nublado;11;residencial;88,43;105,33;1,191
10;parcialmente_nublado;34;industrial;157,67;123,17;0,781
11;parcialmente_nublado;17;comercial;210,63;250,94;1,191
11;parcialmente_nublado;24;industrial;211,11;309,58;1,466
11;parcialmente_nublado;21;comercial;118,51;181,57;1,532
11;parcialmente_nublado;19;comercial;188,56;221,81;1,176
12;ceu_aberto;22;comercial;180,37;384,49;2,132
12;ceu_aberto;32;industrial;166,94;164,91;0,988
12;ceu_aberto;9;residencial;65,17;473,18;7,261
12;ceu_aberto;20;comercial;119,59;439,36;3,674
