id_realizacao;tipo_dia;unidade_pv;barra;potencia_kw
1;nublado;1;4;150,0
1;nublado;2;19;200,0
1;nublado;3;33;180,7
2;parcialmente_nublado;1;12;100,0
2;parcialmente_nublado;2;20;430,7
3;nublado;1;18;530,7
4;parcialmente_nublado;1;2;150,0
4;parcialmente_nublado;2;18;250,0
4;parcialmente_nublado;3;14;50,0
4;parcialmente_nublado;4;26;80,7
5;nublado;1;14;100,0
5;nublado;2;5;430,7
6;nublado;1;24;530,7
7;parcialmente_nublado;1;22;300,0
7;parcialmente_nublado;2;7;200,0
7;parcialmente_nublado;3;21;30,7
8;ceu_aberto;1;15;350,0
8;ceu_aberto;2;19;180,7
9;nublado;1;22;350,0
9;nublado;2;34;50,0
9;nublado;3;6;130,7
10;ceu_aberto;1;15;200,0
10;ceu_aberto;2;13;330,7
11;ceu_aberto;1;5;200,0
11;ceu_aberto;2;27;330,7
12;parcialmente_nublado;1;15;350,0
12;parcialmente_nublado;2;1;180,7
13;ceu_aberto;1;4;350,0
13;ceu_aberto;2;2;180,7
14;ceu_aberto;1;5;250,0
14;ceu_aberto;2;23;280,7
15;ceu_aberto;1;23;530,7
16;ceu_aberto;1;25;530,7
17;parcialmente_nublado;1;5;530,7
18;parcialmente_nublado;1;7;200,0
18;parcialmente_nublado;2;13;330,7
19;ceu_aberto;1;24;500,0
19;ceu_aberto;2;34;30,7
20;parcialmente_nublado;1;11;500,0
20;parcialmente_nublado;2;20;30,7
21;ceu_aberto;1;30;100,0
21;ceu_aberto;2;7;300,0
21;ceu_aberto;3;15;130,7
22;parcialmente_nublado;1;34;530,7
23;nublado;1;27;150,0
23;nublado;2;10;380,7
24;nublado;1;24;150,0
24;nublado;2;16;380,7
25;parcialmente_nublado;1;7;530,7
26;nublado;1;4;530,7
27;parcialmente_nublado;1;31;530,7
28;ceu_aberto;1;12;450,0
28;ceu_aberto;2;4;80,7
29;ceu_aberto;1;18;250,0
29;ceu_aberto;2;20;280,7
30;parcialmente_nublado;1;5;150,0
30;parcialmente_nublado;2;26;380,7
31;ceu_aberto;1;8;400,0
31;ceu_aberto;2;16;130,7
32;nublado;1;33;530,7
33;parcialmente_nublado;1;28;200,0
33;parcialmente_nublado;2;10;330,7
34;parcialmente_nublado;1;3;400,0
34;parcialmente_nublado;2;26;130,7
35;nublado;1;33;450,0
35;nublado;2;28;80,7
36;nublado;1;6;250,0
36;nublado;2;3;280,7
37;ceu_aberto;1;27;250,0
37;ceu_aberto;2;27;280,7
38;nublado;1;15;450,0
38;nublado;2;10;80,7
39;nublado;1;29;350,0
39;nublado;2;13;180,7
40;parcialmente_nublado;1;32;530,7
41;ceu_aberto;1;15;200,0
41;ceu_aberto;2;18;330,7
42;nublado;1;26;400,0
42;nublado;2;5;130,7
43;nublado;1;16;250,0
43;nublado;2;14;280,7
44;parcialmente_nublado;1;31;530,7
45;parcialmente_nublado;1;34;250,0
45;parcialmente_nublado;2;12;280,7
46;nublado;1;15;150,0
46;nublado;2;9;380,7
47;parcialmente_nublado;1;9;150,0
47;parcialmente_nublado;2;33;100,0
47;parcialmente_nublado;3;3;280,7
48;ceu_aberto;1;17;530,7
49;nublado;1;25;50,0
49;nublado;2;34;50,0
49;nublado;3;2;430,7
50;parcialmente_nublado;1;30;350,0
50;parcialmente_nublado;2;33;180,7
