id_realizacao;tipo_dia;unidade_bess;barra;potencia_kw;capacidade_kwh;razao_armazenamento_h
1;nublado;1;12;198,76;274,33;1,38
1;nublado;2;34;115,2;181,88;1,579
1;nublado;3;28;171,46;481,54;2,808
1;nublado;4;24;163,33;104,33;0,639
1;nublado;5;17;215,22;484,71;2,252
1;nublado;6;29;169,28;226,94;1,341
2;parcialmente_nublado;1;20;106,99;269,29;2,517
2;parcialmente_nublado;2;1;141,71;468,59;3,307
2;parcialmente_nublado;3;29;103,5;357,18;3,451
2;parcialmente_nublado;4;7;205,02;139,57;0,681
2;parcialmente_nublado;5;7;247,13;348,66;1,411
2;parcialmente_nublado;6;12;176,39;452,53;2,566
3;nublado;1;2;143,21;110,85;0,774
3;nublado;2;31;133,58;391,09;2,928
3;nublado;3;17;168,86;407,58;2,414
3;nublado;4;2;161,68;193,74;1,198
3;nublado;5;23;194,77;429,99;2,208
3;nublado;6;34;145,3;305,26;2,101
4;parcialmente_nublado;1;17;186,24;199,66;1,072
4;parcialmente_nublado;2;10;65,67;345,67;5,264
4;parcialmente_nublado;3;33;228,86;465,41;2,034
4;parcialmente_nublado;4;25;127,05;117,13;0,922
4;parcialmente_nublado;5;27;80,8;133,06;1,647
4;parcialmente_nublado;6;9;185,28;183,29;0,989
5;nublado;1;17;243,58;218,03;0,895
5;nublado;2;23;184,53;112,46;0,609
5;nublado;3;19;139,67;384,97;2,756
5;nublado;4;1;160,73;311,77;1,94
5;nublado;5;17;122,47;357,28;2,917
5;nublado;6;21;68,25;145,59;2,133
6;nublado;1;17;171,42;299,2;1,745
6;nublado;2;4;152,51;488,42;3,203
6;nublado;3;18;171,11;258,04;1,508
6;nublado;4;27;195,47;174,39;0,892
6;nublado;5;34;168,1;146,16;0,869
6;nublado;6;2;201,35;313,37;1,556
7;parcialmente_nublado;1;19;83,95;486,17;5,791
7;parcialmente_nublado;2;1;180,6;389,05;2,154
7;parcialmente_nublado;3;19;147,78;155,9;1,055
7;parcialmente_nublado;4;31;238,66;280,27;1,174
7;parcialmente_nublado;5;27;191,08;316,7;1,657
7;parcialmente_nublado;6;21;76,45;260,28;3,405
8;ceu_aberto;1;28;106,57;404,12;3,792
8;ceu_aberto;2;23;186,25;316,85;1,701
8;ceu_aberto;3;29;189,1;383,58;2,028
8;ceu_aberto;4;17;64,45;489,09;7,589
8;ceu_aberto;5;18;219,46;239,83;1,093
8;ceu_aberto;6;7;224,08;292,91;1,307
9;nublado;1;7;242,78;124,4;0,512
9;nublado;2;15;232,76;367,22;1,578
9;nublado;3;34;61,22;181,02;2,957
9;nublado;4;16;237,7;353,53;1,487
9;nublado;5;31;179,35;209,45;1,168
9;nublado;6;8;174,81;280,81;1,606
10;ceu_aberto;1;34;180,45;433,75;2,404
10;ceu_aberto;2;30;104,5;138,56;1,326
10;ceu_aberto;3;2;72,08;250,39;3,474
10;ceu_aberto;4;9;88,91;193,13;2,172
10;ceu_aberto;5;24;170,21;364,11;2,139
10;ceu_aberto;6;2;211,5;384,38;1,817
11;ceu_aberto;1;1;50,18;434,28;8,654
11;ceu_aberto;2;15;51,64;488,78;9,465
11;ceu_aberto;3;34;96,86;162,11;1,674
11;ceu_aberto;4;13;173,85;138,34;0,796
11;ceu_aberto;5;17;66,4;113,95;1,716
11;ceu_aberto;6;19;143,29;472,87;3,3
12;parcialmente_nublado;1;12;170,47;452,55;2,655
12;parcialmente_nublado;2;27;162,54;422,88;2,602
12;parcialmente_nublado;3;17;163,76;271,66;1,659
12;parcialmente_nublado;4;23;191,85;204,34;1,065
12;parcialmente_nublado;5;22;59,68;364,22;6,103
12;parcialmente_nublado;6;34;102,18;310,46;3,038
13;ceu_aberto;1;30;86,5;145,29;1,68
13;ceu_aberto;2;11;205,97;453,44;2,201
13;ceu_aberto;3;2;132,51;108,14;0,816
13;ceu_aberto;4;22;227,9;126,24;0,554
13;ceu_aberto;5;22;55,87;242,9;4,348
13;ceu_aberto;6;11;118,21;220,25;1,863
14;ceu_aberto;1;30;99,81;403,77;4,045
14;ceu_aberto;2;30;240,72;398,28;1,655
14;ceu_aberto;3;33;203,01;172,13;0,848
14;ceu_aberto;4;17;94,34;113,9;1,207
14;ceu_aberto;5;4;168,92;475,86;2,817
14;ceu_aberto;6;7;141,39;114,4;0,809
15;ceu_aberto;1;26;236,31;218,69;0,925
15;ceu_aberto;2;18;245,32;420,19;1,713
15;ceu_aberto;3;33;64,77;425,97;6,577
15;ceu_aberto;4;34;240,58;442,47;1,839
15;ceu_aberto;5;28;64,67;124,54;1,926
15;ceu_aberto;6;19;73,33;131,21;1,789
16;ceu_aberto;1;2;186,25;173,34;0,931
16;ceu_aberto;2;18;108,06;262,67;2,431
16;ceu_aberto;3;13;247,61;358,0;1,446
16;ceu_aberto;4;26;87,22;224,83;2,578
16;ceu_aberto;5;15;180,68;251,79;1,394
16;ceu_aberto;6;14;219,17;423,85;1,934
17;parcialmente_nublado;1;15;188,74;128,35;0,68
17;parcialmente_nublado;2;1;235,04;436,46;1,857
17;parcialmente_nublado;3;9;215,95;269,51;1,248
17;parcialmente_nublado;4;30;197,49;299,45;1,516
17;parcialmente_nublado;5;24;126,07;205,77;1,632
17;parcialmente_nublado;6;25;235,7;155,41;0,659
18;parcialmente_nublado;1;30;174,42;342,81;1,965
18;parcialmente_nublado;2;20;174,49;370,74;2,125
18;parcialmente_nublado;3;16;115,0;277,72;2,415
