id_realizacao;tipo_dia;barra;tipo_carga;potencia_kw
1;ceu_aberto;28;industrial;300,0
1;ceu_aberto;12;comercial;200,0
1;ceu_aberto;2;residencial;300,0
1;ceu_aberto;32;industrial;261,4
2;ceu_aberto;32;industrial;200,0
2;ceu_aberto;20;comercial;750,0
2;ceu_aberto;21;comercial;111,4
3;parcialmente_nublado;1;residencial;300,0
3;parcialmente_nublado;14;comercial;100,0
3;parcialmente_nublado;24;industrial;100,0
3;parcialmente_nublado;30;industrial;561,4
4;nublado;6;residencial;50,0
4;nublado;12;comercial;800,0
4;nublado;4;residencial;100,0
4;nublado;5;residencial;111,4
5;ceu_aberto;5;residencial;300,0
5;ceu_aberto;14;comercial;761,4
6;ceu_aberto;30;industrial;300,0
6;ceu_aberto;16;comercial;350,0
6;ceu_aberto;12;comercial;411,4
7;nublado;18;comercial;650,0
7;nublado;32;industrial;100,0
7;nublado;1;residencial;200,0
7;nublado;10;residencial;111,4
8;ceu_aberto;23;industrial;750,0
8;ceu_aberto;29;industrial;250,0
8;ceu_aberto;22;comercial;61,4
9;nublado;14;comercial;550,0
9;nublado;34;industrial;50,0
9;nublado;16;comercial;200,0
9;nublado;32;industrial;261,4
10;ceu_aberto;21;comercial;250,0
10;ceu_aberto;32;industrial;500,0
10;ceu_aberto;6;residencial;250,0
10;ceu_aberto;26;industrial;61,4
11;parcialmente_nublado;11;residencial;50,0
11;parcialmente_nublado;3;residencial;400,0
11;parcialmente_nublado;1;residencial;400,0
11;parcialmente_nublado;20;comercial;211,4
12;parcialmente_nublado;23;industrial;100,0
12;parcialmente_nublado;24;industrial;150,0
12;parcialmente_nublado;32;industrial;450,0
12;parcialmente_nublado;14;comercial;50,0
12;parcialmente_nublado;15;comercial;311,4
13;nublado;8;residencial;400,0
13;nublado;13;comercial;200,0
13;nublado;32;industrial;200,0
13;nublado;22;comercial;261,4
14;nublado;10;residencial;450,0
14;nublado;30;industrial;611,4
15;ceu_aberto;32;industrial;100,0
15;ceu_aberto;11;residencial;100,0
15;ceu_aberto;13;comercial;100,0
15;ceu_aberto;29;industrial;250,0
15;ceu_aberto;31;industrial;150,0
15;ceu_aberto;7;residencial;361,4
16;nublado;23;industrial;350,0
16;nublado;25;industrial;400,0
16;nublado;10;residencial;300,0
16;nublado;9;residencial;11,4
17;nublado;26;industrial;100,0
17;nublado;11;residencial;400,0
17;nublado;17;comercial;300,0
17;nublado;14;comercial;261,4
18;nublado;16;comercial;300,0
18;nublado;6;residencial;350,0
18;nublado;30;industrial;100,0
18;nublado;18;comercial;300,0
18;nublado;23;industrial;11,4
19;nublado;18;comercial;700,0
19;nublado;6;residencial;361,4
20;ceu_aberto;1;residencial;250,0
20;ceu_aberto;6;residencial;250,0
20;ceu_aberto;12;comercial;200,0
20;ceu_aberto;11;residencial;350,0
20;ceu_aberto;33;industrial;11,4
21;nublado;23;industrial;100,0
21;nublado;7;residencial;700,0
21;nublado;27;industrial;261,4
22;parcialmente_nublado;7;residencial;500,0
22;parcialmente_nublado;34;industrial;50,0
22;parcialmente_nublado;33;industrial;511,4
23;nublado;6;residencial;100,0
23;nublado;16;comercial;850,0
23;nublado;1;residencial;100,0
23;nublado;4;residencial;11,4
24;nublado;12;comercial;50,0
24;nublado;26;industrial;500,0
24;nublado;28;industrial;250,0
24;nublado;33;industrial;261,4
25;parcialmente_nublado;6;residencial;800,0
25;parcialmente_nublado;18;comercial;150,0
25;parcialmente_nublado;34;industrial;111,4
26;ceu_aberto;32;industrial;350,0
26;ceu_aberto;26;industrial;300,0
26;ceu_aberto;18;comercial;50,0
26;ceu_aberto;6;residencial;50,0
26;ceu_aberto;13;comercial;311,4
27;parcialmente_nublado;14;comercial;500,0
27;parcialmente_nublado;26;industrial;561,4
28;parcialmente_nublado;24;industrial;550,0
28;parcialmente_nublado;31;industrial;350,0
28;parcialmente_nublado;3;residencial;161,4
29;ceu_aberto;9;residencial;550,0
29;ceu_aberto;25;industrial;500,0
29;ceu_aberto;14;comercial;11,4
30;parcialmente_nublado;16;comercial;500,0
30;parcialmente_nublado;22;comercial;450,0
30;parcialmente_nublado;7;residencial;111,4
31;ceu_aberto;15;comercial;200,0
31;ceu_aberto;12;comercial;200,0
31;ceu_aberto;6;residencial;100,0
31;ceu_aberto;27;industrial;561,4
32;ceu_aberto;15;comercial;500,0
32;ceu_aberto;16;comercial;350,0
32;ceu_aberto;33;industrial;211,4
33;nublado;32;industrial;350,0
33;nublado;29;industrial;600,0
33;nublado;27;industrial;111,4
34;ceu_aberto;12;comercial;450,0
34;ceu_aberto;28;industrial;611,4
35;parcialmente_nublado;2;residencial;500,0
35;parcialmente_nublado;29;industrial;561,4
36;ceu_aberto;23;industrial;550,0
36;ceu_aberto;8;residencial;450,0
36;ceu_aberto;31;industrial;61,4
37;parcialmente_nublado;5;residencial;350,0
37;parcialmente_nublado;14;comercial;350,0
37;parcialmente_nublado;29;industrial;150,0
37;parcialmente_nublado;4;residencial;211,4
38;ceu_aberto;25;industrial;250,0
38;ceu_aberto;13;comercial;350,0
38;ceu_aberto;3;residencial;200,0
38;ceu_aberto;23;industrial;261,4
39;ceu_aberto;26;industrial;350,0
39;ceu_aberto;9;residencial;350,0
39;ceu_aberto;20;comercial;361,4
40;parcialmente_nublado;1;residencial;850,0
40;parcialmente_nublado;2;residencial;211,4
41;parcialmente_nublado;15;comercial;700,0
41;parcialmente_nublado;1;residencial;361,4
42;nublado;3;residencial;350,0
42;nublado;26;industrial;100,0
42;nublado;16;comercial;100,0
42;nublado;11;residencial;150,0
42;nublado;23;industrial;361,4
43;nublado;33;industrial;150,0
43;nublado;21;comercial;50,0
43;nublado;7;residencial;750,0
43;nublado;13;comercial;111,4
44;ceu_aberto;19;comercial;550,0
44;ceu_aberto;29;industrial;250,0
44;ceu_aberto;25;industrial;100,0
44;ceu_aberto;18;comercial;150,0
44;ceu_aberto;34;industrial;11,4
45;nublado;30;industrial;450,0
45;nublado;9;residencial;50,0
45;nublado;8;residencial;300,0
45;nublado;26;industrial;150,0
45;nublado;21;comercial;111,4
46;parcialmente_nublado;19;comercial;450,0
46;parcialmente_nublado;32;industrial;611,4
47;ceu_aberto;11;residencial;250,0
47;ceu_aberto;15;comercial;150,0
47;ceu_aberto;34;industrial;661,4
48;ceu_aberto;23;industrial;50,0
48;ceu_aberto;22;comercial;700,0
48;ceu_aberto;4;residencial;311,4
49;ceu_aberto;31;industrial;800,0
49;ceu_aberto;25;industrial;250,0
49;ceu_aberto;16;comercial;11,4
50;ceu_aberto;7;residencial;400,0
50;ceu_aberto;32;industrial;661,4
