id_realizacao;tipo_dia;classe;nome;barra;potencia_kw;capacidade_kwh;perfil
1;nublado;PVSystem;PV_barra14;14;550,0;;PV_irr_real1
1;nublado;PVSystem;PV_barra19;19;250,0;;PV_irr_real1
1;nublado;PVSystem;PV_barra22;22;150,0;;PV_irr_real1
1;nublado;PVSystem;PV_barra5;5;288,3;;PV_irr_real1
1;nublado;Storage;BESS_barra30;30;206,24;355.51;BESS_fixo
1;nublado;Storage;BESS_barra27;27;78,61;237.64;BESS_fixo
1;nublado;Storage;BESS_barra21;21;116,33;321.08;BESS_fixo
1;nublado;Storage;BESS_barra16;16;210,79;386.34;BESS_fixo
1;nublado;Storage;BESS_barra3;3;97,77;171.82;BESS_fixo
1;nublado;Storage;BESS_barra31;31;143,24;199.35;BESS_fixo
1;nublado;Storage;BESS_barra25;25;172,11;282.82;BESS_fixo
1;nublado;Storage;BESS_barra1;1;87,3;252.44;BESS_fixo
1;nublado;Storage;BESS_barra34;34;92,07;150.36;BESS_fixo
1;nublado;Storage;BESS_barra8;8;86,96;114.63;BESS_fixo
1;nublado;Storage;BESS_barra12;12;223,06;428.4;BESS_fixo
1;nublado;Storage;BESS_barra29;29;134,19;284.21;BESS_fixo
1;nublado;Storage;BESS_barra23;23;209,07;182.46;BESS_fixo
1;nublado;Storage;BESS_barra33;33;170,22;227.22;BESS_fixo
2;nublado;PVSystem;PV_barra4;4;100,0;;PV_irr_real2
2;nublado;PVSystem;PV_barra11;11;650,0;;PV_irr_real2
2;nublado;PVSystem;PV_barra18;18;200,0;;PV_irr_real2
2;nublado;PVSystem;PV_barra14;14;288,3;;PV_irr_real2
2;nublado;Storage;BESS_barra22;22;68,28;334.47;BESS_fixo
2;nublado;Storage;BESS_barra3;3;211,66;313.17;BESS_fixo
2;nublado;Storage;BESS_barra25;25;131,79;142.86;BESS_fixo
2;nublado;Storage;BESS_barra34;34;149,75;471.19;BESS_fixo
2;nublado;Storage;BESS_barra2;2;235,77;380.32;BESS_fixo
2;nublado;Storage;BESS_barra30;30;156,43;490.65;BESS_fixo
2;nublado;Storage;BESS_barra5;5;112,08;276.29;BESS_fixo
2;nublado;Storage;BESS_barra12;12;110,6;335.39;BESS_fixo
2;nublado;Storage;BESS_barra31;31;192,57;477.01;BESS_fixo
2;nublado;Storage;BESS_barra33;33;50,77;374.94;BESS_fixo
2;nublado;Storage;BESS_barra16;16;82,59;229.87;BESS_fixo
2;nublado;Storage;BESS_barra9;9;126,71;234.1;BESS_fixo
2;nublado;Storage;BESS_barra27;27;176,08;377.29;BESS_fixo
2;nublado;Storage;BESS_barra10;10;209,75;345.42;BESS_fixo
3;parcialmente_nublado;PVSystem;PV_barra13;13;450,0;;PV_irr_real3
3;parcialmente_nublado;PVSystem;PV_barra3;3;50,0;;PV_irr_real3
3;parcialmente_nublado;PVSystem;PV_barra20;20;350,0;;PV_irr_real3
3;parcialmente_nublado;PVSystem;PV_barra23;23;388,3;;PV_irr_real3
3;parcialmente_nublado;Storage;BESS_barra31;31;185,89;248.7;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra29;29;159,56;235.87;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra24;24;94,39;290.6;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra18;18;109,48;272.79;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra25;25;59,04;474.5;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra22;22;82,26;399.4;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra17;17;82,77;420.17;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra5;5;96,95;266.87;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra34;34;232,07;163.01;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra14;14;240,33;470.57;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra1;1;140,66;267.99;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra7;7;160,08;277.66;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra2;2;90,54;178.1;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra27;27;118,23;372.12;BESS_fixo
4;ceu_aberto;PVSystem;PV_barra12;12;50,0;;PV_irr_real4
4;ceu_aberto;PVSystem;PV_barra5;5;150,0;;PV_irr_real4
4;ceu_aberto;PVSystem;PV_barra33;33;350,0;;PV_irr_real4
4;ceu_aberto;PVSystem;PV_barra32;32;300,0;;PV_irr_real4
4;ceu_aberto;PVSystem;PV_barra26;26;250,0;;PV_irr_real4
4;ceu_aberto;PVSystem;PV_barra20;20;138,3;;PV_irr_real4
4;ceu_aberto;Storage;BESS_barra30;30;205,34;123.63;BESS_fixo
4;ceu_aberto;Storage;BESS_barra21;21;102,07;483.27;BESS_fixo
4;ceu_aberto;Storage;BESS_barra29;29;137,45;348.89;BESS_fixo
4;ceu_aberto;Storage;BESS_barra16;16;145,7;106.12;BESS_fixo
4;ceu_aberto;Storage;BESS_barra18;18;237,78;140.49;BESS_fixo
4;ceu_aberto;Storage;BESS_barra1;1;94,24;287.84;BESS_fixo
4;ceu_aberto;Storage;BESS_barra27;27;81,22;250.19;BESS_fixo
4;ceu_aberto;Storage;BESS_barra23;23;201,21;439.14;BESS_fixo
4;ceu_aberto;Storage;BESS_barra2;2;169,12;461.56;BESS_fixo
4;ceu_aberto;Storage;BESS_barra11;11;216,15;115.44;BESS_fixo
4;ceu_aberto;Storage;BESS_barra25;25;88,8;495.26;BESS_fixo
4;ceu_aberto;Storage;BESS_barra8;8;55,72;186.41;BESS_fixo
4;ceu_aberto;Storage;BESS_barra7;7;162,24;308.64;BESS_fixo
4;ceu_aberto;Storage;BESS_barra31;31;55,64;365.94;BESS_fixo
5;nublado;PVSystem;PV_barra21;21;500,0;;PV_irr_real5
5;nublado;PVSystem;PV_barra6;6;100,0;;PV_irr_real5
5;nublado;PVSystem;PV_barra19;19;638,3;;PV_irr_real5
5;nublado;Storage;BESS_barra26;26;110,51;349.88;BESS_fixo
5;nublado;Storage;BESS_barra7;7;178,31;491.41;BESS_fixo
5;nublado;Storage;BESS_barra13;13;237,18;129.85;BESS_fixo
5;nublado;Storage;BESS_barra17;17;191,93;217.67;BESS_fixo
5;nublado;Storage;BESS_barra2;2;122,97;421.82;BESS_fixo
5;nublado;Storage;BESS_barra31;31;133,71;221.78;BESS_fixo
5;nublado;Storage;BESS_barra14;14;116,3;326.37;BESS_fixo
5;nublado;Storage;BESS_barra1;1;154,15;135.25;BESS_fixo
5;nublado;Storage;BESS_barra28;28;135,08;471.66;BESS_fixo
5;nublado;Storage;BESS_barra33;33;199,9;181.62;BESS_fixo
5;nublado;Storage;BESS_barra22;22;141,06;339.58;BESS_fixo
5;nublado;Storage;BESS_barra30;30;247,2;431.26;BESS_fixo
5;nublado;Storage;BESS_barra9;9;112,53;409.71;BESS_fixo
5;nublado;Storage;BESS_barra4;4;218,43;195.96;BESS_fixo
6;parcialmente_nublado;PVSystem;PV_barra8;8;200,0;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra18;18;450,0;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra7;7;250,0;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra24;24;150,0;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra31;31;188,3;;PV_irr_real6
6;parcialmente_nublado;Storage;BESS_barra11;11;75,93;129.01;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra12;12;167,7;159.88;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra28;28;114,9;467.55;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra27;27;201,91;316.39;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra10;10;61,63;336.51;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra3;3;174,85;164.04;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra23;23;218,61;316.01;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra34;34;130,31;481.27;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra26;26;189,19;492.54;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra1;1;111,04;191.5;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra15;15;171,35;327.2;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra14;14;79,44;255.23;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra22;22;78,11;405.04;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra5;5;103,77;419.65;BESS_fixo
7;parcialmente_nublado;PVSystem;PV_barra21;21;150,0;;PV_irr_real7
7;parcialmente_nublado;PVSystem;PV_barra32;32;150,0;;PV_irr_real7
7;parcialmente_nublado;PVSystem;PV_barra23;23;200,0;;PV_irr_real7
7;parcialmente_nublado;PVSystem;PV_barra11;11;200,0;;PV_irr_real7
7;parcialmente_nublado;PVSystem;PV_barra34;34;400,0;;PV_irr_real7
7;parcialmente_nublado;PVSystem;PV_barra20;20;138,3;;PV_irr_real7
7;parcialmente_nublado;Storage;BESS_barra8;8;73,03;464.8;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra31;31;80,62;467.37;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra10;10;187,21;108.37;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra9;9;216,08;383.32;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra29;29;122,56;251.88;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra26;26;138,31;410.47;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra24;24;134,92;125.5;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra16;16;116,23;185.97;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra2;2;135,1;191.59;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra12;12;108,33;394.43;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra15;15;172,68;468.45;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra22;22;193,77;139.25;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra5;5;249,84;466.46;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra33;33;154,47;247.86;BESS_fixo
8;ceu_aberto;PVSystem;PV_barra14;14;500,0;;PV_irr_real8
8;ceu_aberto;PVSystem;PV_barra16;16;100,0;;PV_irr_real8
8;ceu_aberto;PVSystem;PV_barra31;31;638,3;;PV_irr_real8
8;ceu_aberto;Storage;BESS_barra6;6;188,14;176.6;BESS_fixo
8;ceu_aberto;Storage;BESS_barra24;24;65,4;429.58;BESS_fixo
8;ceu_aberto;Storage;BESS_barra32;32;145,93;369.51;BESS_fixo
8;ceu_aberto;Storage;BESS_barra3;3;209,79;430.29;BESS_fixo
8;ceu_aberto;Storage;BESS_barra21;21;181,42;149.83;BESS_fixo
8;ceu_aberto;Storage;BESS_barra25;25;60,81;226.29;BESS_fixo
8;ceu_aberto;Storage;BESS_barra9;9;146,54;405.8;BESS_fixo
8;ceu_aberto;Storage;BESS_barra13;13;72,01;467.65;BESS_fixo
8;ceu_aberto;Storage;BESS_barra12;12;174,33;256.08;BESS_fixo
8;ceu_aberto;Storage;BESS_barra5;5;58,04;424.86;BESS_fixo
8;ceu_aberto;Storage;BESS_barra20;20;191,1;318.19;BESS_fixo
8;ceu_aberto;Storage;BESS_barra22;22;59,02;255.28;BESS_fixo
8;ceu_aberto;Storage;BESS_barra4;4;170,62;353.53;BESS_fixo
8;ceu_aberto;Storage;BESS_barra1;1;93,79;216.04;BESS_fixo
9;parcialmente_nublado;PVSystem;PV_barra33;33;750,0;;PV_irr_real9
9;parcialmente_nublado;PVSystem;PV_barra14;14;150,0;;PV_irr_real9
9;parcialmente_nublado;PVSystem;PV_barra32;32;250,0;;PV_irr_real9
9;parcialmente_nublado;PVSystem;PV_barra22;22;88,3;;PV_irr_real9
9;parcialmente_nublado;Storage;BESS_barra24;24;87,37;288.67;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra7;7;121,62;250.22;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra29;29;116,3;385.01;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra2;2;64,17;368.07;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra27;27;80,57;123.83;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra28;28;95,5;280.56;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra15;15;94,49;353.24;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra23;23;241,4;184.12;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra5;5;224,73;148.19;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra8;8;240,38;200.86;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra4;4;66,63;167.2;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra34;34;149,72;432.37;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra12;12;224,43;173.94;BESS_fixo
9;parcialmente_nublado;Storage;BESS_barra10;10;211,42;361.93;BESS_fixo
10;parcialmente_nublado;PVSystem;PV_barra34;34;200,0;;PV_irr_real10
10;parcialmente_nublado;PVSystem;PV_barra1;1;100,0;;PV_irr_real10
10;parcialmente_nublado;PVSystem;PV_barra32;32;50,0;;PV_irr_real10
10;parcialmente_nublado;PVSystem;PV_barra23;23;50,0;;PV_irr_real10
10;parcialmente_nublado;PVSystem;PV_barra27;27;500,0;;PV_irr_real10
10;parcialmente_nublado;PVSystem;PV_barra8;8;100,0;;PV_irr_real10
10;parcialmente_nublado;PVSystem;PV_barra16;16;238,3;;PV_irr_real10
10;parcialmente_nublado;Storage;BESS_barra15;15;53,45;129.31;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra10;10;198,05;392.05;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra7;7;118,72;487.62;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra17;17;93,39;321.61;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra4;4;183,74;278.65;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra14;14;187,69;183.81;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra13;13;66,73;175.86;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra22;22;104,76;328.6;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra5;5;100,19;112.76;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra2;2;64,58;249.3;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra20;20;160,86;103.09;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra25;25;162,93;172.09;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra29;29;85,48;440.48;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra30;30;217,62;463.83;BESS_fixo
11;ceu_aberto;PVSystem;PV_barra29;29;50,0;;PV_irr_real11
11;ceu_aberto;PVSystem;PV_barra13;13;500,0;;PV_irr_real11
11;ceu_aberto;PVSystem;PV_barra34;34;100,0;;PV_irr_real11
11;ceu_aberto;PVSystem;PV_barra14;14;450,0;;PV_irr_real11
11;ceu_aberto;PVSystem;PV_barra5;5;138,3;;PV_irr_real11
11;ceu_aberto;Storage;BESS_barra4;4;205,27;339.54;BESS_fixo
11;ceu_aberto;Storage;BESS_barra8;8;195,78;408.32;BESS_fixo
11;ceu_aberto;Storage;BESS_barra10;10;187,66;243.89;BESS_fixo
11;ceu_aberto;Storage;BESS_barra15;15;229,46;457.03;BESS_fixo
11;ceu_aberto;Storage;BESS_barra33;33;232,8;366.11;BESS_fixo
11;ceu_aberto;Storage;BESS_barra31;31;204,91;228.28;BESS_fixo
11;ceu_aberto;Storage;BESS_barra11;11;122,4;197.79;BESS_fixo
11;ceu_aberto;Storage;BESS_barra32;32;172,23;282.91;BESS_fixo
11;ceu_aberto;Storage;BESS_barra24;24;52,06;408.49;BESS_fixo
11;ceu_aberto;Storage;BESS_barra22;22;158,0;380.24;BESS_fixo
11;ceu_aberto;Storage;BESS_barra18;18;122,3;405.06;BESS_fixo
11;ceu_aberto;Storage;BESS_barra3;3;84,57;245.91;BESS_fixo
11;ceu_aberto;Storage;BESS_barra30;30;173,24;148.95;BESS_fixo
11;ceu_aberto;Storage;BESS_barra17;17;123,48;312.7;BESS_fixo
12;nublado;PVSystem;PV_barra11;11;350,0;;PV_irr_real12
12;nublado;PVSystem;PV_barra15;15;100,0;;PV_irr_real12
12;nublado;PVSystem;PV_barra2;2;600,0;;PV_irr_real12
12;nublado;PVSystem;PV_barra8;8;188,3;;PV_irr_real12
12;nublado;Storage;BESS_barra16;16;137,51;467.46;BESS_fixo
12;nublado;Storage;BESS_barra31;31;102,89;486.85;BESS_fixo
