id_realizacao;tipo_dia;barra;potencia_kw;capacidade_kwh;razao_armazenamento_h
1;parcialmente_nublado;812;88,35;328,94;3,723
1;parcialmente_nublado;836;100,66;281,45;2,796
1;parcialmente_nublado;848;226,54;174,49;0,77
1;parcialmente_nublado;808;157,75;261,34;1,657
1;parcialmente_nublado;858;189,64;457,26;2,411
1;parcialmente_nublado;818;240,26;280,51;1,168
1;parcialmente_nublado;852;134,41;361,41;2,689
1;parcialmente_nublado;810;220,19;229,44;1,042
1;parcialmente_nublado;820;79,6;495,98;6,231
1;parcialmente_nublado;842;200,52;312,16;1,557
1;parcialmente_nublado;862;183,11;458,54;2,504
1;parcialmente_nublado;802;58,43;340,29;5,824
1;parcialmente_nublado;888;220,74;191,35;0,867
1;parcialmente_nublado;850;152,96;448,43;2,932
1;parcialmente_nublado;806;55,36;400,02;7,226
1;parcialmente_nublado;846;104,47;208,23;1,993
2;ceu_aberto;860;72,5;129,08;1,78
2;ceu_aberto;824;133,95;102,09;0,762
2;ceu_aberto;832;192,62;403,33;2,094
2;ceu_aberto;888;180,72;228,35;1,264
2;ceu_aberto;812;138,93;116,13;0,836
2;ceu_aberto;830;146,77;464,72;3,166
2;ceu_aberto;822;142,35;491,01;3,449
2;ceu_aberto;814;243,45;470,13;1,931
2;ceu_aberto;818;239,2;266,53;1,114
2;ceu_aberto;848;149,25;477,13;3,197
2;ceu_aberto;810;210,04;346,24;1,648
2;ceu_aberto;826;188,46;255,91;1,358
2;ceu_aberto;846;196,97;448,41;2,277
2;ceu_aberto;850;58,22;332,0;5,703
2;ceu_aberto;820;116,13;330,98;2,85
2;ceu_aberto;890;124,97;307,67;2,462
3;ceu_aberto;888;220,26;226,96;1,03
3;ceu_aberto;844;229,57;214,13;0,933
3;ceu_aberto;816;77,69;151,17;1,946
3;ceu_aberto;810;244,55;341,26;1,395
3;ceu_aberto;842;121,63;354,2;2,912
3;ceu_aberto;826;244,73;250,66;1,024
3;ceu_aberto;834;131,13;328,31;2,504
3;ceu_aberto;800;197,51;267,97;1,357
3;ceu_aberto;830;244,59;312,98;1,28
3;ceu_aberto;858;114,73;213,64;1,862
3;ceu_aberto;806;185,15;393,01;2,123
3;ceu_aberto;862;202,96;208,77;1,029
3;ceu_aberto;814;177,41;165,82;0,935
3;ceu_aberto;808;104,92;490,54;4,675
3;ceu_aberto;846;139,66;499,62;3,577
