id_realizacao;tipo_dia;penetracao_pct;pv_unidades;pv_potencia_total_kw;bess_unidades
1;nublado;120,0;8;2640,0;24
2;parcialmente_nublado;120,0;10;2640,0;24
3;nublado;120,0;6;2640,0;24
4;nublado;120,0;7;2640,0;24
5;nublado;120,0;8;2640,0;24
6;ceu_aberto;120,0;6;2640,0;24
7;nublado;120,0;7;2640,0;24
8;ceu_aberto;120,0;7;2640,0;24
9;nublado;120,0;5;2640,0;24
10;parcialmente_nublado;120,0;8;2640,0;24
11;nublado;120,0;8;2640,0;24
12;parcialmente_nublado;120,0;8;2640,0;24
13;parcialmente_nublado;120,0;5;2640,0;24
14;ceu_aberto;120,0;9;2640,0;24
15;nublado;120,0;6;2640,0;24
16;ceu_aberto;120,0;11;2640,0;24
17;ceu_aberto;120,0;7;2640,0;24
18;parcialmente_nublado;120,0;10;2640,0;24
19;nublado;120,0;10;2640,0;24
20;parcialmente_nublado;120,0;10;2640,0;24
21;parcialmente_nublado;120,0;10;2640,0;24
22;parcialmente_nublado;120,0;9;2640,0;24
23;nublado;120,0;7;2640,0;24
24;nublado;120,0;6;2640,0;24
25;nublado;120,0;7;2640,0;24
26;nublado;120,0;9;2640,0;24
27;ceu_aberto;120,0;11;2640,0;24
28;nublado;120,0;6;2640,0;24
29;ceu_aberto;120,0;8;2640,0;24
30;ceu_aberto;120,0;9;2640,0;24
31;nublado;120,0;8;2640,0;24
32;ceu_aberto;120,0;6;2640,0;24
33;nublado;120,0;8;2640,0;24
34;nublado;120,0;10;2640,0;24
35;parcialmente_nublado;120,0;8;2640,0;24
36;nublado;120,0;6;2640,0;24
37;ceu_aberto;120,0;6;2640,0;24
38;ceu_aberto;120,0;10;2640,0;24
39;parcialmente_nublado;120,0;7;2640,0;24
40;nublado;120,0;7;2640,0;24
41;nublado;120,0;10;2640,0;24
42;ceu_aberto;120,0;7;2640,0;24
43;parcialmente_nublado;120,0;5;2640,0;24
44;ceu_aberto;120,0;5;2640,0;24
45;ceu_aberto;120,0;5;2640,0;24
46;ceu_aberto;120,0;6;2640,0;24
47;parcialmente_nublado;120,0;7;2640,0;24
48;nublado;120,0;12;2640,0;24
49;ceu_aberto;120,0;10;2640,0;24
50;ceu_aberto;120,0;9;2640,0;24
