id_realizacao;tipo_dia;h00;h01;h02;h03;h04;h05;h06;h07;h08;h09;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23
1;nublado;0,0004;0,0;0,0;0,0001;0,0;0,0128;0,0859;0,2391;0,4685;0,6007;0,7746;0,781;0,6003;0,5779;0,3973;0,3547;0,1474;0,0515;0,004;0,0;0,0002;0,0016;0,0017;0,0019
2;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0034;0,0492;0,1866;0,3851;0,6359;0,8639;0,9448;1,0;0,631;0,578;0,3982;0,2342;0,0464;0,0018;0,0003;0,0;0,0;0,0;0,0001
3;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0135;0,0752;0,2961;0,3508;0,5856;0,7117;0,6182;0,604;0,5671;0,4665;0,3904;0,175;0,0525;0,0044;0,0;0,0002;0,0017;0,0017;0,0017
4;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,003;0,0523;0,19;0,419;0,6789;0,9727;0,9077;1,0;0,842;0,5935;0,5001;0,2178;0,0432;0,0018;0,0003;0,0;0,0;0,0;0,0001
5;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0124;0,0943;0,2409;0,4666;0,5986;0,5989;0,7349;0,7094;0,6665;0,5143;0,3202;0,2185;0,058;0,0039;0,0;0,0002;0,0017;0,0016;0,002
6;parcialmente_nublado;0,0009;0,001;0,0014;0,0011;0,0009;0,0036;0,0447;0,1846;0,3616;0,613;0,6955;0,935;0,6265;0,877;0,6484;0,3143;0,2219;0,0512;0,0063;0,0009;0,0006;0,0004;0,0005;0,0003
7;nublado;0,0006;0,0;0,0;0,0001;0,0;0,0099;0,0689;0,2188;0,4449;0,4967;0,6294;0,5652;0,6187;0,5865;0,6112;0,4108;0,2072;0,057;0,0032;0,0;0,0002;0,0017;0,0016;0,0018
8;parcialmente_nublado;0,0009;0,0009;0,0011;0,001;0,0009;0,0044;0,0423;0,1733;0,3798;0,588;0,9233;0,8181;0,5646;0,8235;0,5685;0,3827;0,1673;0,0511;0,0056;0,0007;0,0005;0,0004;0,0004;0,0004
9;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0027;0,0401;0,2171;0,3904;0,8776;1,0;1,0;0,9857;0,8177;0,7709;0,532;0,1509;0,0457;0,0024;0,0003;0,0;0,0;0,0;0,0001
10;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0029;0,0393;0,1907;0,476;0,743;0,8599;1,0;1,0;0,8885;0,7654;0,5826;0,2296;0,0527;0,0024;0,0004;0,0;0,0;0,0;0,0001
11;nublado;0,0006;0,0;0,0;0,0001;0,0;0,0141;0,101;0,2259;0,3571;0,6891;0,6794;0,6896;0,6887;0,5851;0,5994;0,2749;0,1811;0,0529;0,0043;0,0;0,0002;0,0016;0,0017;0,0019
12;parcialmente_nublado;0,001;0,0007;0,0011;0,0011;0,0008;0,0036;0,0486;0,189;0,3537;0,6856;0,7192;0,7864;0,9606;0,6681;0,5429;0,3575;0,2081;0,0375;0,0064;0,0008;0,0007;0,0004;0,0004;0,0003
13;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0025;0,0412;0,1968;0,339;0,674;0,7139;0,9164;0,7228;0,987;0,7473;0,56;0,2619;0,0491;0,0021;0,0003;0,0;0,0;0,0;0,0001
14;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0031;0,0528;0,1991;0,4669;0,7664;1,0;0,88;1,0;0,8558;0,7007;0,5151;0,2451;0,0474;0,0022;0,0003;0,0;0,0;0,0;0,0001
15;nublado;0,0004;0,0;0,0;0,0001;0,0;0,0122;0,0821;0,2822;0,4244;0,4751;0,6244;0,7193;0,8196;0,5191;0,4682;0,3765;0,1947;0,0429;0,0038;0,0;0,0002;0,0016;0,0014;0,0017
16;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0093;0,0786;0,2503;0,3705;0,4331;0,754;0,6385;0,5438;0,5735;0,46;0,3848;0,1903;0,0364;0,0051;0,0;0,0002;0,0015;0,0017;0,0018
17;parcialmente_nublado;0,0009;0,0009;0,0011;0,0011;0,0008;0,0039;0,0596;0,1628;0,3536;0,5939;0,8012;0,8062;0,739;0,7898;0,5794;0,3239;0,1865;0,0569;0,0059;0,0008;0,0006;0,0004;0,0003;0,0004
18;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0034;0,0475;0,2052;0,4358;0,7568;0,7265;1,0;1,0;1,0;0,7492;0,4622;0,2391;0,0513;0,002;0,0003;0,0;0,0;0,0;0,0001
19;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0027;0,0393;0,1654;0,3829;0,7765;0,7517;1,0;0,8286;0,8415;0,797;0,4162;0,2338;0,0459;0,0021;0,0003;0,0;0,0;0,0;0,0001
20;parcialmente_nublado;0,0011;0,0007;0,001;0,001;0,0008;0,0041;0,0531;0,1966;0,4046;0,6595;0,7186;0,9714;0,8555;0,8103;0,6275;0,4134;0,2017;0,0508;0,005;0,0007;0,0006;0,0004;0,0004;0,0004
21;nublado;0,0004;0,0;0,0;0,0001;0,0;0,014;0,1016;0,2903;0,4472;0,5779;0,5671;0,6559;0,6475;0,5846;0,5016;0,3148;0,2116;0,0445;0,0038;0,0;0,0002;0,0013;0,0015;0,0015
22;parcialmente_nublado;0,0011;0,0009;0,0011;0,0008;0,0009;0,0038;0,0508;0,1765;0,4632;0,5595;0,7024;0,9274;0,8889;0,7726;0,7284;0,3856;0,2207;0,0617;0,0052;0,0007;0,0008;0,0004;0,0004;0,0005
23;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0029;0,0376;0,1919;0,5161;0,5695;0,9904;0,7611;0,9946;0,8349;0,7541;0,5539;0,2781;0,0508;0,0021;0,0003;0,0;0,0;0,0;0,0001
24;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0033;0,0507;0,1976;0,3844;0,688;0,7468;0,9155;0,878;1,0;0,6817;0,4926;0,2773;0,05;0,0024;0,0003;0,0;0,0;0,0;0,0001
25;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0033;0,0358;0,2147;0,4737;0,8511;0,9506;0,9124;1,0;0,7428;0,7322;0,4929;0,2178;0,0548;0,0023;0,0003;0,0;0,0;0,0;0,0001
26;parcialmente_nublado;0,001;0,0008;0,0011;0,0011;0,0009;0,0044;0,0526;0,1467;0,3755;0,6091;0,8086;0,8375;0,7605;0,6999;0,5597;0,3673;0,2124;0,0537;0,0047;0,0008;0,0006;0,0003;0,0004;0,0004
27;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0131;0,0722;0,2152;0,4845;0,5249;0,5068;0,6687;0,7049;0,567;0,5134;0,3603;0,2207;0,0503;0,0039;0,0;0,0002;0,0016;0,0015;0,0018
28;nublado;0,0004;0,0;0,0;0,0001;0,0;0,012;0,0678;0,2629;0,3215;0,4872;0,6557;0,7041;0,5034;0,5718;0,5314;0,3529;0,1928;0,0591;0,0039;0,0;0,0002;0,002;0,0015;0,0015
29;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0033;0,0432;0,2177;0,4762;0,7325;1,0;0,8815;0,7788;0,8203;0,7968;0,4473;0,1958;0,0461;0,0018;0,0003;0,0;0,0;0,0;0,0001
30;parcialmente_nublado;0,0009;0,0011;0,0013;0,0012;0,0008;0,0043;0,0538;0,2174;0,3934;0,7024;0,7223;0,7621;0,8725;0,783;0,548;0,3446;0,2077;0,0484;0,0049;0,0007;0,0005;0,0004;0,0004;0,0004
31;nublado;0,0004;0,0;0,0;0,0001;0,0;0,0114;0,0862;0,2978;0,3727;0,5042;0,6259;0,6035;0,804;0,5541;0,4851;0,3041;0,181;0,0386;0,0039;0,0;0,0002;0,0017;0,0018;0,002
32;parcialmente_nublado;0,0012;0,0009;0,0011;0,001;0,0007;0,0055;0,0659;0,1684;0,4363;0,7101;0,6702;0,8008;0,8377;0,6082;0,5295;0,4197;0,1696;0,0602;0,0061;0,001;0,0005;0,0004;0,0004;0,0004
33;parcialmente_nublado;0,0009;0,001;0,0011;0,001;0,0006;0,0043;0,0493;0,2179;0,4206;0,594;0,8019;0,8221;0,85;0,8824;0,5222;0,4799;0,2107;0,0507;0,0055;0,0008;0,0005;0,0004;0,0004;0,0004
34;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0031;0,0479;0,1919;0,5073;0,7295;0,9639;0,8798;0,9353;0,9599;0,6223;0,4345;0,2637;0,0391;0,0019;0,0003;0,0;0,0;0,0;0,0001
35;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,003;0,0449;0,2202;0,4692;0,6278;0,959;0,9004;1,0;0,9381;0,7107;0,4501;0,2349;0,0396;0,0026;0,0004;0,0;0,0;0,0;0,0001
36;nublado;0,0004;0,0;0,0;0,0001;0,0;0,0119;0,0906;0,2565;0,3928;0,4487;0,6334;0,7349;0,7761;0,6641;0,5795;0,2719;0,1892;0,0502;0,0035;0,0;0,0002;0,0015;0,0016;0,0015
37;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0027;0,0373;0,22;0,4462;0,6287;0,8478;0,8922;0,8331;0,9134;0,8311;0,5253;0,2159;0,0502;0,0018;0,0003;0,0;0,0;0,0;0,0001
38;nublado;0,0004;0,0;0,0;0,0001;0,0;0,0103;0,0869;0,3134;0,4253;0,5067;0,6993;0,6907;0,5851;0,613;0,6102;0,3463;0,1881;0,051;0,0041;0,0;0,0002;0,0016;0,0013;0,002
39;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0024;0,0445;0,1672;0,4581;0,6218;0,9652;0,9647;0,8583;0,8367;0,6622;0,6429;0,2304;0,0514;0,0021;0,0002;0,0;0,0;0,0;0,0001
40;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0036;0,0415;0,1772;0,5158;0,4866;0,8925;1,0;1,0;0,7923;0,664;0,574;0,247;0,0481;0,0024;0,0002;0,0;0,0;0,0;0,0001
41;nublado;0,0007;0,0;0,0;0,0001;0,0;0,0126;0,0815;0,2598;0,3761;0,5923;0,624;0,8271;0,6436;0,5888;0,4226;0,3346;0,1858;0,0521;0,0044;0,0;0,0002;0,0016;0,0013;0,0016
42;parcialmente_nublado;0,0008;0,0006;0,001;0,001;0,0008;0,0029;0,0467;0,1989;0,3002;0,5786;0,8011;0,9269;0,7507;0,7265;0,5449;0,3501;0,2075;0,0557;0,0045;0,0009;0,0005;0,0005;0,0003;0,0003
43;parcialmente_nublado;0,0012;0,0011;0,0013;0,0012;0,0007;0,0046;0,0486;0,1835;0,4634;0,573;0,7968;0,7125;1,0;0,6536;0,5133;0,4089;0,1434;0,0546;0,0064;0,0009;0,0007;0,0004;0,0003;0,0004
44;nublado;0,0004;0,0;0,0;0,0001;0,0;0,0159;0,0864;0,254;0,35;0,5205;0,6842;0,75;0,666;0,4838;0,4987;0,2949;0,181;0,0469;0,0041;0,0;0,0002;0,0013;0,0015;0,0021
45;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0031;0,0499;0,2017;0,3663;0,6267;0,8062;1,0;0,9754;0,827;0,7889;0,5141;0,2004;0,0456;0,0018;0,0003;0,0;0,0;0,0;0,0001
