hour,bess,pf_applied
1,bess_barra848,1.0
1,bess_barra860,1.0
1,bess_barra840,1.0
1,bess_barra844,1.0
1,bess_barra890,1.0
2,bess_barra848,1.0
2,bess_barra860,1.0
2,bess_barra840,1.0
2,bess_barra844,1.0
2,bess_barra890,1.0
3,bess_barra848,1.0
3,bess_barra860,1.0
3,bess_barra840,1.0
3,bess_barra844,1.0
3,bess_barra890,1.0
4,bess_barra848,1.0
4,bess_barra860,1.0
4,bess_barra840,1.0
4,bess_barra844,1.0
4,bess_barra890,1.0
5,bess_barra848,1.0
5,bess_barra860,1.0
5,bess_barra840,1.0
5,bess_barra844,1.0
5,bess_barra890,1.0
6,bess_barra848,1.0
6,bess_barra860,1.0
6,bess_barra840,1.0
6,bess_barra844,1.0
6,bess_barra890,1.0
7,bess_barra848,1.0
7,bess_barra860,1.0
7,bess_barra840,1.0
7,bess_barra844,1.0
7,bess_barra890,1.0
8,bess_barra848,1.0
8,bess_barra860,1.0
8,bess_barra840,1.0
8,bess_barra844,1.0
8,bess_barra890,1.0
9,bess_barra848,1.0
9,bess_barra860,1.0
9,bess_barra840,1.0
9,bess_barra844,1.0
9,bess_barra890,1.0
10,bess_barra848,1.0
10,bess_barra860,1.0
10,bess_barra840,1.0
10,bess_barra844,1.0
10,bess_barra890,1.0
11,bess_barra848,1.0
11,bess_barra860,1.0
11,bess_barra840,1.0
11,bess_barra844,1.0
11,bess_barra890,1.0
12,bess_barra848,1.0
12,bess_barra860,1.0
12,bess_barra840,1.0
12,bess_barra844,1.0
12,bess_barra890,1.0
13,bess_barra848,1.0
13,bess_barra860,1.0
13,bess_barra840,1.0
13,bess_barra844,1.0
13,bess_barra890,1.0
14,bess_barra848,1.0
14,bess_barra860,1.0
14,bess_barra840,1.0
14,bess_barra844,1.0
14,bess_barra890,1.0
15,bess_barra848,1.0
15,bess_barra860,1.0
15,bess_barra840,1.0
15,bess_barra844,1.0
15,bess_barra890,1.0
16,bess_barra848,1.0
16,bess_barra860,1.0
16,bess_barra840,1.0
16,bess_barra844,1.0
16,bess_barra890,1.0
17,bess_barra848,1.0
17,bess_barra860,1.0
17,bess_barra840,1.0
17,bess_barra844,1.0
17,bess_barra890,1.0
18,bess_barra848,1.0
18,bess_barra860,1.0
18,bess_barra840,1.0
18,bess_barra844,1.0
18,bess_barra890,1.0
19,bess_barra848,1.0
19,bess_barra860,1.0
19,bess_barra840,1.0
19,bess_barra844,1.0
19,bess_barra890,1.0
20,bess_barra848,1.0
20,bess_barra860,1.0
20,bess_barra840,1.0
20,bess_barra844,1.0
20,bess_barra890,1.0
21,bess_barra848,1.0
21,bess_barra860,1.0
21,bess_barra840,1.0
21,bess_barra844,1.0
21,bess_barra890,1.0
22,bess_barra848,1.0
22,bess_barra860,1.0
22,bess_barra840,1.0
22,bess_barra844,1.0
22,bess_barra890,1.0
23,bess_barra848,1.0
23,bess_barra860,1.0
23,bess_barra840,1.0
23,bess_barra844,1.0
23,bess_barra890,1.0
24,bess_barra848,1.0
24,bess_barra860,1.0
24,bess_barra840,1.0
24,bess_barra844,1.0
24,bess_barra890,1.0
