hour,der,der_type,pf_applied
1,bess_barra860,BESS,1.0
1,bess_barra890,BESS,1.0
1,bess_barra840,BESS,1.0
1,bess_barra844,BESS,1.0
1,bess_barra848,BESS,1.0
1,pv_barra860,PV,1.0
1,pv_barra840,PV,1.0
1,pv_barra844,PV,1.0
1,pv_barra848,PV,1.0
1,pv_barra890,PV,1.0
2,bess_barra860,BESS,1.0
2,bess_barra890,BESS,1.0
2,bess_barra840,BESS,1.0
2,bess_barra844,BESS,1.0
2,bess_barra848,BESS,1.0
2,pv_barra860,PV,1.0
2,pv_barra840,PV,1.0
2,pv_barra844,PV,1.0
2,pv_barra848,PV,1.0
2,pv_barra890,PV,1.0
3,bess_barra860,BESS,0.99973
3,bess_barra890,BESS,1.0
3,bess_barra840,BESS,0.99988
3,bess_barra844,BESS,0.999405
3,bess_barra848,BESS,0.998813
3,pv_barra860,PV,0.99973
3,pv_barra840,PV,0.99988
3,pv_barra844,PV,0.999405
3,pv_barra848,PV,0.998813
3,pv_barra890,PV,1.0
4,bess_barra860,BESS,0.99973
4,bess_barra890,BESS,1.0
4,bess_barra840,BESS,0.99988
4,bess_barra844,BESS,0.999405
4,bess_barra848,BESS,0.998813
4,pv_barra860,PV,0.99973
4,pv_barra840,PV,0.99988
4,pv_barra844,PV,0.999405
4,pv_barra848,PV,0.998813
4,pv_barra890,PV,1.0
5,bess_barra860,BESS,0.995872
5,bess_barra890,BESS,1.0
5,bess_barra840,BESS,0.996005
5,bess_barra844,BESS,0.995496
5,bess_barra848,BESS,0.994861
5,pv_barra860,PV,0.995872
5,pv_barra840,PV,0.996005
5,pv_barra844,PV,0.995496
5,pv_barra848,PV,0.994861
5,pv_barra890,PV,1.0
6,bess_barra860,BESS,0.999468
6,bess_barra890,BESS,1.0
6,bess_barra840,BESS,0.999618
6,bess_barra844,BESS,0.999078
6,bess_barra848,BESS,0.998443
6,pv_barra860,PV,0.999468
6,pv_barra840,PV,0.999618
6,pv_barra844,PV,0.999078
6,pv_barra848,PV,0.998443
6,pv_barra890,PV,1.0
7,bess_barra860,BESS,0.999468
7,bess_barra890,BESS,1.0
7,bess_barra840,BESS,0.999618
7,bess_barra844,BESS,0.999078
7,bess_barra848,BESS,0.998443
7,pv_barra860,PV,0.999468
7,pv_barra840,PV,0.999618
7,pv_barra844,PV,0.999078
7,pv_barra848,PV,0.998443
7,pv_barra890,PV,1.0
8,bess_barra860,BESS,0.998597
8,bess_barra890,BESS,-0.988924
8,bess_barra840,BESS,0.998712
8,bess_barra844,BESS,0.998482
8,bess_barra848,BESS,0.997788
8,pv_barra860,PV,0.998597
8,pv_barra840,PV,0.998712
8,pv_barra844,PV,0.998482
8,pv_barra848,PV,0.997788
8,pv_barra890,PV,-0.988924
9,bess_barra860,BESS,0.986715
9,bess_barra890,BESS,-0.92258
9,bess_barra840,BESS,0.986847
9,bess_barra844,BESS,0.986913
9,bess_barra848,BESS,0.98628
9,pv_barra860,PV,0.986715
9,pv_barra840,PV,0.986847
9,pv_barra844,PV,0.986913
9,pv_barra848,PV,0.98628
9,pv_barra890,PV,-0.92258
10,bess_barra860,BESS,0.980623
10,bess_barra890,BESS,-0.9
10,bess_barra840,BESS,0.980704
10,bess_barra844,BESS,0.981149
10,bess_barra848,BESS,0.980454
10,pv_barra860,PV,0.980623
10,pv_barra840,PV,0.980704
10,pv_barra844,PV,0.981149
10,pv_barra848,PV,0.980454
10,pv_barra890,PV,-0.9
11,bess_barra860,BESS,0.996993
11,bess_barra890,BESS,-0.9
11,bess_barra840,BESS,0.997253
11,bess_barra844,BESS,0.997032
11,bess_barra848,BESS,0.996139
11,pv_barra860,PV,0.996993
11,pv_barra840,PV,0.997253
11,pv_barra844,PV,0.997032
11,pv_barra848,PV,0.996139
11,pv_barra890,PV,-0.9
12,bess_barra860,BESS,0.994632
12,bess_barra890,BESS,-0.9
12,bess_barra840,BESS,0.994886
12,bess_barra844,BESS,0.994679
12,bess_barra848,BESS,0.993778
12,pv_barra860,PV,0.994632
12,pv_barra840,PV,0.994886
12,pv_barra844,PV,0.994679
12,pv_barra848,PV,0.993778
12,pv_barra890,PV,-0.9
13,bess_barra860,BESS,0.992739
13,bess_barra890,BESS,-0.9
13,bess_barra840,BESS,0.992395
13,bess_barra844,BESS,0.993042
13,bess_barra848,BESS,0.992123
13,pv_barra860,PV,0.992739
13,pv_barra840,PV,0.992395
13,pv_barra844,PV,0.993042
13,pv_barra848,PV,0.992123
13,pv_barra890,PV,-0.9
14,bess_barra860,BESS,0.998034
14,bess_barra890,BESS,-0.944883
14,bess_barra840,BESS,0.997872
14,bess_barra844,BESS,0.998377
14,bess_barra848,BESS,0.997715
14,pv_barra860,PV,0.998034
14,pv_barra840,PV,0.997872
14,pv_barra844,PV,0.998377
14,pv_barra848,PV,0.997715
14,pv_barra890,PV,-0.944883
15,bess_barra860,BESS,0.998776
15,bess_barra890,BESS,-0.942022
15,bess_barra840,BESS,0.998571
15,bess_barra844,BESS,0.998874
15,bess_barra848,BESS,0.997789
15,pv_barra860,PV,0.998776
15,pv_barra840,PV,0.998571
15,pv_barra844,PV,0.998874
15,pv_barra848,PV,0.997789
15,pv_barra890,PV,-0.942022
16,bess_barra860,BESS,0.996246
16,bess_barra890,BESS,-0.977912
16,bess_barra840,BESS,0.996146
16,bess_barra844,BESS,0.99611
16,bess_barra848,BESS,0.995226
16,pv_barra860,PV,0.996246
16,pv_barra840,PV,0.996146
16,pv_barra844,PV,0.99611
16,pv_barra848,PV,0.995226
16,pv_barra890,PV,-0.977912
17,bess_barra860,BESS,1.0
17,bess_barra890,BESS,-0.991874
17,bess_barra840,BESS,1.0
17,bess_barra844,BESS,1.0
17,bess_barra848,BESS,1.0
17,pv_barra860,PV,1.0
17,pv_barra840,PV,1.0
17,pv_barra844,PV,1.0
17,pv_barra848,PV,1.0
17,pv_barra890,PV,-0.991874
18,bess_barra860,BESS,0.993455
18,bess_barra890,BESS,1.0
18,bess_barra840,BESS,0.993623
18,bess_barra844,BESS,0.993097
18,bess_barra848,BESS,0.992523
18,pv_barra860,PV,0.993455
18,pv_barra840,PV,0.993623
18,pv_barra844,PV,0.993097
18,pv_barra848,PV,0.992523
18,pv_barra890,PV,1.0
19,bess_barra860,BESS,0.996517
19,bess_barra890,BESS,1.0
19,bess_barra840,BESS,0.996047
19,bess_barra844,BESS,0.996486
19,bess_barra848,BESS,0.995652
19,pv_barra860,PV,0.996517
19,pv_barra840,PV,0.996047
19,pv_barra844,PV,0.996486
19,pv_barra848,PV,0.995652
19,pv_barra890,PV,1.0
20,bess_barra860,BESS,0.996517
20,bess_barra890,BESS,1.0
20,bess_barra840,BESS,0.996047
20,bess_barra844,BESS,0.996486
20,bess_barra848,BESS,0.995652
20,pv_barra860,PV,0.996517
20,pv_barra840,PV,0.996047
20,pv_barra844,PV,0.996486
20,pv_barra848,PV,0.995652
20,pv_barra890,PV,1.0
21,bess_barra860,BESS,1.0
21,bess_barra890,BESS,1.0
21,bess_barra840,BESS,1.0
21,bess_barra844,BESS,0.999696
21,bess_barra848,BESS,0.999275
21,pv_barra860,PV,1.0
21,pv_barra840,PV,1.0
21,pv_barra844,PV,0.999696
21,pv_barra848,PV,0.999275
21,pv_barra890,PV,1.0
22,bess_barra860,BESS,0.98799
22,bess_barra890,BESS,1.0
22,bess_barra840,BESS,0.988164
22,bess_barra844,BESS,0.987498
22,bess_barra848,BESS,0.98701
22,pv_barra860,PV,0.98799
22,pv_barra840,PV,0.988164
22,pv_barra844,PV,0.987498
22,pv_barra848,PV,0.98701
22,pv_barra890,PV,1.0
23,bess_barra860,BESS,0.995792
23,bess_barra890,BESS,1.0
23,bess_barra840,BESS,0.995906
23,bess_barra844,BESS,0.995423
23,bess_barra848,BESS,0.994851
23,pv_barra860,PV,0.995792
23,pv_barra840,PV,0.995906
23,pv_barra844,PV,0.995423
23,pv_barra848,PV,0.994851
23,pv_barra890,PV,1.0
24,bess_barra860,BESS,0.996807
24,bess_barra890,BESS,1.0
24,bess_barra840,BESS,0.996919
24,bess_barra844,BESS,0.996425
24,bess_barra848,BESS,0.995826
24,pv_barra860,PV,0.996807
24,pv_barra840,PV,0.996919
24,pv_barra844,PV,0.996425
24,pv_barra848,PV,0.995826
24,pv_barra890,PV,1.0
