hour,der,der_type,bus,v_pu_preVoltVar,v_pu_posVoltVar,voltvar_active,iter_count,pnom_kw,q_voltvar_kvar,q/pn(%),soc_pct,bess_state
1,bess_barra860,BESS,860,1.028553,1.028553,False,0,78.1,0.0,0.0,0.0,Idling
1,bess_barra844,BESS,844,1.028812,1.028812,False,0,215.8,0.0,0.0,0.0,Idling
1,bess_barra840,BESS,840,1.028498,1.028498,False,0,63.29,0.0,0.0,0.0,Idling
1,bess_barra848,BESS,848,1.029288,1.029288,False,0,68.86,0.0,0.0,0.0,Idling
1,bess_barra890,BESS,890,0.989786,0.989786,False,0,209.34,0.0,0.0,0.0,Idling
1,pv_barra860,PV,860,1.028553,1.028553,False,0,208.83,0.0,0.0,,N/A
1,pv_barra840,PV,840,1.028498,1.028498,False,0,216.87,0.0,0.0,,N/A
1,pv_barra844,PV,844,1.028812,1.028812,False,0,209.32,0.0,0.0,,N/A
1,pv_barra848,PV,848,1.029288,1.029288,False,0,227.33,0.0,0.0,,N/A
1,pv_barra890,PV,890,0.989786,0.989786,False,0,199.06,0.0,0.0,,N/A
2,bess_barra860,BESS,860,1.028553,1.028553,False,0,78.1,0.0,0.0,0.0,Idling
2,bess_barra844,BESS,844,1.028812,1.028812,False,0,215.8,0.0,0.0,0.0,Idling
2,bess_barra840,BESS,840,1.028498,1.028498,False,0,63.29,0.0,0.0,0.0,Idling
2,bess_barra848,BESS,848,1.029289,1.029289,False,0,68.86,0.0,0.0,0.0,Idling
2,bess_barra890,BESS,890,0.989787,0.989787,False,0,209.34,0.0,0.0,0.0,Idling
2,pv_barra860,PV,860,1.028553,1.028553,False,0,208.83,0.0,0.0,,N/A
2,pv_barra840,PV,840,1.028498,1.028498,False,0,216.87,0.0,0.0,,N/A
2,pv_barra844,PV,844,1.028812,1.028812,False,0,209.32,0.0,0.0,,N/A
2,pv_barra848,PV,848,1.029289,1.029289,False,0,227.33,0.0,0.0,,N/A
2,pv_barra890,PV,890,0.989787,0.989787,False,0,199.06,0.0,0.0,,N/A
3,bess_barra860,BESS,860,1.030199,1.030094,True,3,78.1,-0.0517,-0.07,0.0,Idling
3,bess_barra844,BESS,844,1.030423,1.030317,True,3,215.8,-0.4429,-0.21,0.0,Idling
3,bess_barra840,BESS,840,1.030096,1.029991,True,3,63.29,-0.0014,-0.0,0.0,Idling
3,bess_barra848,BESS,848,1.030838,1.030731,True,3,68.86,-0.3188,-0.46,0.0,Idling
3,bess_barra890,BESS,890,0.989808,0.989712,True,3,209.34,0.0,0.0,0.0,Idling
