hora,der,tipo,barra,v_pre,v_pos,q_kvar,p_inst_kw,q_pct_pinst
0,PV_6_0_barra860,PV,860,1.035664,1.035635,-0.0325,0.3753,-8.66
0,PV_6_1_barra840,PV,840,1.035265,1.035237,-0.0246,0.2887,-8.52
0,PV_6_2_barra844,PV,844,1.0357,1.035672,-0.0285,0.325,-8.76
0,PV_6_3_barra848,PV,848,1.035721,1.035692,-0.0374,0.4173,-8.96
0,PV_6_4_barra890,PV,890,0.923765,0.923744,0.0993,0.345,28.78
0,PV_6_5_barra860,PV,860,1.035664,1.035635,-0.0111,0.1277,-8.66
0,PV_6_6_barra840,PV,840,1.035265,1.035237,-0.0098,0.1154,-8.52
0,PV_6_7_barra844,PV,844,1.0357,1.035672,-0.0108,0.123,-8.76
0,PV_6_8_barra848,PV,848,1.035721,1.035692,-0.0111,0.1244,-8.96
0,PV_6_9_barra890,PV,890,0.923765,0.923744,0.0353,0.1225,28.78
0,BESS_6_0_barra860,BESS,860,1.035664,1.035635,0.0,0.0,
0,BESS_6_1_barra840,BESS,840,1.035265,1.035237,0.0,0.0,
0,BESS_6_2_barra844,BESS,844,1.0357,1.035672,0.0,0.0,
0,BESS_6_3_barra848,BESS,848,1.035721,1.035692,0.0,0.0,
0,BESS_6_4_barra890,BESS,890,0.923765,0.923744,0.0,0.0,
1,PV_6_0_barra860,PV,860,1.035551,1.035523,-0.0263,0.3071,-8.58
1,PV_6_1_barra840,PV,840,1.035152,1.035125,-0.0199,0.2362,-8.44
1,PV_6_2_barra844,PV,844,1.035587,1.03556,-0.0231,0.2659,-8.68
1,PV_6_3_barra848,PV,848,1.035607,1.035579,-0.0303,0.3415,-8.88
1,PV_6_4_barra890,PV,890,0.92365,0.923626,0.0815,0.2823,28.86
1,PV_6_5_barra860,PV,860,1.035551,1.035523,-0.009,0.1045,-8.58
1,PV_6_6_barra840,PV,840,1.035152,1.035125,-0.008,0.0944,-8.44
1,PV_6_7_barra844,PV,844,1.035587,1.03556,-0.0087,0.1006,-8.68
1,PV_6_8_barra848,PV,848,1.035607,1.035579,-0.009,0.1018,-8.88
1,PV_6_9_barra890,PV,890,0.92365,0.923626,0.0289,0.1003,28.86
1,BESS_6_0_barra860,BESS,860,1.035551,1.035523,0.0,0.0,
1,BESS_6_1_barra840,BESS,840,1.035152,1.035125,0.0,0.0,
1,BESS_6_2_barra844,BESS,844,1.035587,1.03556,0.0,0.0,
1,BESS_6_3_barra848,BESS,848,1.035607,1.035579,0.0,0.0,
1,BESS_6_4_barra890,BESS,890,0.92365,0.923626,0.0,0.0,
2,PV_6_0_barra860,PV,860,1.03572,1.035691,-0.0356,0.4094,-8.7
2,PV_6_1_barra840,PV,840,1.035322,1.035293,-0.027,0.3149,-8.56
2,PV_6_2_barra844,PV,844,1.035757,1.035727,-0.0312,0.3545,-8.8
2,PV_6_3_barra848,PV,848,1.035778,1.035748,-0.041,0.4553,-9.0
2,PV_6_4_barra890,PV,890,0.923823,0.923803,0.1082,0.3764,28.75
2,PV_6_5_barra860,PV,860,1.03572,1.035691,-0.0121,0.1393,-8.7
2,PV_6_6_barra840,PV,840,1.035322,1.035293,-0.0108,0.1258,-8.56
2,PV_6_7_barra844,PV,844,1.035757,1.035727,-0.0118,0.1342,-8.8
2,PV_6_8_barra848,PV,848,1.035778,1.035748,-0.0122,0.1357,-9.0
2,PV_6_9_barra890,PV,890,0.923823,0.923803,0.0384,0.1337,28.75
