hour,bess,bus,v_pu,q_kvar,q_pu,q_active,pnom_kw,soc_pct,bess_state,soc_warn
1,bess_barra890,890,0.989763,0.0,0.0,False,180.26,0.0,Idling,False
1,bess_barra840,840,1.028412,0.0,0.0,False,205.44,0.0,Idling,False
1,bess_barra844,844,1.02873,0.0,0.0,False,85.21,0.0,Idling,False
1,bess_barra860,860,1.028469,0.0,0.0,False,104.14,0.0,Idling,False
1,bess_barra848,848,1.029205,0.0,0.0,False,160.42,0.0,Idling,False
2,bess_barra890,890,0.989763,0.0,0.0,False,180.26,0.0,Idling,False
2,bess_barra840,840,1.028412,0.0,0.0,False,205.44,0.0,Idling,False
2,bess_barra844,844,1.02873,0.0,0.0,False,85.21,0.0,Idling,False
2,bess_barra860,860,1.028469,0.0,0.0,False,104.14,0.0,Idling,False
2,bess_barra848,848,1.029205,0.0,0.0,False,160.42,0.0,Idling,False
3,bess_barra890,890,0.989743,0.0,0.0,False,180.26,0.0,Idling,False
3,bess_barra840,840,1.029973,-0.0234,-0.0003,True,205.44,0.0,Idling,True
3,bess_barra844,844,1.030304,-0.1854,-0.005,True,85.21,0.0,Idling,True
3,bess_barra860,860,1.030078,-0.08,-0.0018,True,104.14,0.0,Idling,True
3,bess_barra848,848,1.030717,-0.7619,-0.0109,True,160.42,0.0,Idling,True
4,bess_barra890,890,0.983548,0.0,0.0,False,180.26,0.0,Idling,False
4,bess_barra840,840,1.027245,0.0,0.0,False,205.44,0.0,Idling,False
4,bess_barra844,844,1.027575,0.0,0.0,False,85.21,0.0,Idling,False
4,bess_barra860,860,1.027356,0.0,0.0,False,104.14,0.0,Idling,False
4,bess_barra848,848,1.027987,0.0,0.0,False,160.42,0.0,Idling,False
5,bess_barra890,890,0.988283,0.0,0.0,False,180.26,0.0,Idling,False
5,bess_barra840,840,1.032286,-3.4858,-0.0389,True,205.44,0.0,Idling,True
5,bess_barra844,844,1.032644,-1.6341,-0.044,True,85.21,0.0,Idling,True
5,bess_barra860,860,1.032382,-1.8272,-0.0403,True,104.14,0.0,Idling,True
5,bess_barra848,848,1.033076,-3.5215,-0.0504,True,160.42,0.0,Idling,True
6,bess_barra890,890,0.986245,0.0,0.0,False,180.26,0.0,Idling,False
6,bess_barra840,840,1.030183,0.0,0.0,False,205.44,0.0,Idling,False
6,bess_barra844,844,1.030559,-0.0785,-0.0021,True,85.21,0.0,Idling,True
6,bess_barra860,860,1.030287,0.0,0.0,False,104.14,0.0,Idling,False
6,bess_barra848,848,1.031002,-0.5872,-0.0084,True,160.42,0.0,Idling,True
7,bess_barra890,890,0.954128,23.7181,0.3019,True,180.26,0.0,Idling,True
7,bess_barra840,840,1.007735,0.0,0.0,False,205.44,0.0,Idling,False
7,bess_barra844,844,1.008129,0.0,0.0,False,85.21,0.0,Idling,False
7,bess_barra860,860,1.007873,0.0,0.0,False,104.14,0.0,Idling,False
7,bess_barra848,848,1.008554,0.0,0.0,False,160.42,0.0,Idling,False
