hour,bess,bus,v_pu,q_kvar,q_pu,q_active,pnom_kw,soc_pct,bess_state,soc_warn
1,bess_barra860,860,1.028607,0.0,0.0,False,132.38,50.0,Idling,False
1,bess_barra890,890,0.990214,0.0,0.0,False,84.68,50.0,Idling,False
1,bess_barra840,840,1.028549,0.0,0.0,False,232.15,50.0,Idling,False
1,bess_barra844,844,1.028869,0.0,0.0,False,82.98,50.0,Idling,False
1,bess_barra848,848,1.029345,0.0,0.0,False,109.99,50.0,Idling,False
2,bess_barra860,860,1.028607,0.0,0.0,False,132.38,50.0,Idling,False
2,bess_barra890,890,0.990214,0.0,0.0,False,84.68,50.0,Idling,False
2,bess_barra840,840,1.028549,0.0,0.0,False,232.15,50.0,Idling,False
2,bess_barra844,844,1.02887,0.0,0.0,False,82.98,50.0,Idling,False
2,bess_barra848,848,1.029345,0.0,0.0,False,109.99,50.0,Idling,False
3,bess_barra860,860,1.030247,-0.2039,-0.0035,True,132.38,50.0,Idling,False
3,bess_barra890,890,0.990237,0.0,0.0,False,84.68,50.0,Idling,False
3,bess_barra840,840,1.030142,-0.205,-0.002,True,232.15,50.0,Idling,False
3,bess_barra844,844,1.030474,-0.2451,-0.0068,True,82.98,50.0,Idling,False
3,bess_barra848,848,1.030889,-0.6087,-0.0127,True,109.99,50.0,Idling,False
4,bess_barra860,860,1.028101,0.0,0.0,False,132.38,50.0,Idling,False
4,bess_barra890,890,0.984094,0.0,0.0,False,84.68,50.0,Idling,False
4,bess_barra840,840,1.028033,0.0,0.0,False,232.15,50.0,Idling,False
4,bess_barra844,844,1.028355,0.0,0.0,False,82.98,50.0,Idling,False
4,bess_barra848,848,1.02883,0.0,0.0,False,109.99,50.0,Idling,False
5,bess_barra860,860,1.032965,-2.4433,-0.0424,True,132.38,50.0,Idling,False
5,bess_barra890,890,0.989155,0.0,0.0,False,84.68,50.0,Idling,False
5,bess_barra840,840,1.032871,-4.1498,-0.041,True,232.15,50.0,Idling,False
5,bess_barra844,844,1.033228,-1.6675,-0.0461,True,82.98,50.0,Idling,False
5,bess_barra848,848,1.033662,-2.5079,-0.0523,True,109.99,50.0,Idling,False
6,bess_barra860,860,1.030009,-0.0071,-0.0001,True,132.38,50.0,Idling,False
6,bess_barra890,890,0.986317,0.0,0.0,False,84.68,50.0,Idling,False
6,bess_barra840,840,1.029901,0.0,0.0,False,232.15,50.0,Idling,False
6,bess_barra844,844,1.030283,-0.1464,-0.004,True,82.98,50.0,Idling,False
6,bess_barra848,848,1.030725,-0.4968,-0.0104,True,109.99,50.0,Idling,False
7,bess_barra860,860,1.029394,0.0,0.0,False,132.38,50.0,Idling,False
7,bess_barra890,890,0.974626,0.0,0.0,False,84.68,50.0,Idling,False
7,bess_barra840,840,1.029221,0.0,0.0,False,232.15,50.0,Idling,False
7,bess_barra844,844,1.029605,0.0,0.0,False,82.98,50.0,Idling,False
7,bess_barra848,848,1.030005,-0.0037,-0.0001,True,109.99,50.0,Idling,False
8,bess_barra860,860,1.036634,-5.4671,-0.0948,True,132.38,50.0,Idling,False
8,bess_barra890,890,0.952408,9.2746,0.2513,True,84.68,50.0,Idling,False
8,bess_barra840,840,1.03655,-9.4669,-0.0936,True,232.15,50.0,Idling,False
8,bess_barra844,844,1.036713,-3.4679,-0.0959,True,82.98,50.0,Idling,False
8,bess_barra848,848,1.037196,-4.9274,-0.1028,True,109.99,50.0,Idling,False
9,bess_barra860,860,1.042144,-10.0086,-0.1735,True,132.38,50.0,Idling,False
9,bess_barra890,890,0.896572,36.9035,1.0,True,84.68,50.0,Idling,False
9,bess_barra840,840,1.042165,-17.5826,-0.1738,True,232.15,50.0,Idling,False
9,bess_barra844,844,1.042133,-6.268,-0.1733,True,82.98,50.0,Idling,False
9,bess_barra848,848,1.042755,-8.734,-0.1822,True,109.99,50.0,Idling,False
10,bess_barra860,860,1.034468,-3.6825,-0.0638,True,132.38,50.0,Idling,False
10,bess_barra890,890,0.833964,36.9035,1.0,True,84.68,50.0,Idling,False
10,bess_barra840,840,1.034508,-6.516,-0.0644,True,232.15,50.0,Idling,False
10,bess_barra844,844,1.034276,-2.2091,-0.0611,True,82.98,50.0,Idling,False
10,bess_barra848,848,1.034923,-3.3714,-0.0703,True,109.99,50.0,Idling,False
11,bess_barra860,860,1.034458,-3.6745,-0.0637,True,132.38,20.0,Idling,False
11,bess_barra890,890,0.831439,36.9035,1.0,True,84.68,47.83,Discharging,False
11,bess_barra840,840,1.035134,-7.4204,-0.0733,True,232.15,20.0,Idling,False
11,bess_barra844,844,1.033955,-2.0431,-0.0565,True,82.98,25.49,Discharging,False
11,bess_barra848,848,1.035052,-3.4595,-0.0722,True,109.99,20.0,Idling,False
12,bess_barra860,860,1.034994,-4.1155,-0.0713,True,132.38,20.0,Idling,False
12,bess_barra890,890,0.834481,36.9035,1.0,True,84.68,45.65,Discharging,False
12,bess_barra840,840,1.035079,-7.3407,-0.0726,True,232.15,20.0,Idling,False
12,bess_barra844,844,1.034654,-2.4042,-0.0665,True,82.98,20.0,Idling,False
12,bess_barra848,848,1.035287,-3.6205,-0.0755,True,109.99,20.0,Idling,False
13,bess_barra860,860,1.042671,-10.443,-0.181,True,132.38,20.0,Idling,False
13,bess_barra890,890,0.866698,36.9035,1.0,True,84.68,43.34,Discharging,False
13,bess_barra840,840,1.042855,-18.5796,-0.1836,True,232.15,20.0,Idling,False
13,bess_barra844,844,1.042519,-6.4677,-0.1788,True,82.98,20.0,Idling,False
13,bess_barra848,848,1.043352,-9.1427,-0.1907,True,109.99,20.0,Idling,False
14,bess_barra860,860,1.030949,-0.7822,-0.0136,True,132.38,20.0,Idling,False
14,bess_barra890,890,0.914479,29.2704,0.7932,True,84.68,40.87,Discharging,False
14,bess_barra840,840,1.031025,-1.481,-0.0146,True,232.15,20.0,Idling,False
14,bess_barra844,844,1.030878,-0.4534,-0.0125,True,82.98,20.0,Idling,False
14,bess_barra848,848,1.031533,-1.0501,-0.0219,True,109.99,20.0,Idling,False
15,bess_barra860,860,1.029987,0.0,0.0,False,132.38,20.0,Idling,False
15,bess_barra890,890,0.912794,30.1585,0.8172,True,84.68,38.39,Discharging,False
15,bess_barra840,840,1.03003,-0.044,-0.0004,True,232.15,20.0,Idling,False
15,bess_barra844,844,1.029922,0.0,0.0,False,82.98,20.0,Idling,False
15,bess_barra848,848,1.030554,-0.3796,-0.0079,True,109.99,20.0,Idling,False
16,bess_barra860,860,1.032257,-1.8603,-0.0322,True,132.38,20.0,Idling,False
16,bess_barra890,890,0.944143,13.6318,0.3694,True,84.68,38.39,Idling,False
16,bess_barra840,840,1.032323,-3.3576,-0.0332,True,232.15,20.0,Idling,False
