Hora,Elemento,De,Para,Fases,I_F1 (A),P_total (kW),Q_total (kVAR),S_total (kVA)
1,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
1,l1,800,802,3,51.8,2047.06,283.26,2066.56
1,l2,802,806,3,51.82,2016.07,268.2,2033.83
1,l3,806,808,3,51.83,1986.29,253.37,2002.39
1,l4,808,810,1,0.6,8.24,3.22,8.85
1,l5,808,812,3,52.0,1928.32,239.81,1943.18
1,l6,812,814,3,52.19,1880.65,231.77,1894.87
1,l7,814R,850,3,48.12,1842.47,223.62,1855.99
1,l8,816,818,1,12.91,173.93,78.78,190.94
1,l9,816,824,3,35.61,1665.45,143.77,1671.64
1,l10,818,820,1,11.56,155.83,70.02,170.84
1,l11,820,822,1,5.21,67.7,32.82,75.24
1,l12,824,826,1,1.54,20.21,9.59,22.37
1,l13,824,828,3,35.65,1606.34,122.3,1610.99
1,l14,828,830,3,35.4,1599.74,119.85,1604.23
1,l15,830,854,3,34.0,1525.02,99.51,1528.26
1,l16,832,858,3,21.06,1013.07,-151.64,1024.35
1,l17,834,860,3,8.46,318.2,181.63,366.39
1,l18,834,842,3,14.91,574.33,-386.09,692.04
1,l19,836,840,3,1.12,48.79,31.53,58.09
1,l20,836,862,3,0.01,28.0,12.9,30.83
1,l21,842,844,3,14.78,569.76,-388.42,689.56
1,l22,844,846,3,9.97,105.88,-417.73,430.94
1,l23,846,848,3,9.9,71.55,-432.16,438.05
1,l24,850,816,3,48.12,1842.46,223.62,1855.98
1,l25,852R,832,3,31.56,1475.44,103.06,1479.04
1,l26,854,856,1,0.24,2.0,-2.8,3.44
1,l27,854,852,3,34.0,1520.38,101.35,1523.76
1,l28,858,864,1,0.07,1.0,0.21,1.02
1,l29,858,834,3,20.63,989.89,-159.65,1002.69
1,l30,860,836,3,2.8,138.59,74.33,157.26
1,l31,862,838,1,1.03,14.0,6.11,15.28
1,l32,888,890,3,69.97,450.02,232.78,506.66
2,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
2,l1,800,802,3,51.8,2047.06,283.26,2066.56
2,l2,802,806,3,51.82,2016.07,268.2,2033.83
2,l3,806,808,3,51.83,1986.29,253.37,2002.39
2,l4,808,810,1,0.6,8.24,3.22,8.85
2,l5,808,812,3,52.0,1928.33,239.81,1943.18
2,l6,812,814,3,52.19,1880.65,231.77,1894.88
2,l7,814R,850,3,48.12,1842.48,223.62,1856.0
2,l8,816,818,1,12.91,173.93,78.78,190.94
2,l9,816,824,3,35.61,1665.45,143.78,1671.64
2,l10,818,820,1,11.56,155.83,70.02,170.84
2,l11,820,822,1,5.21,67.7,32.82,75.24
2,l12,824,826,1,1.54,20.21,9.59,22.37
2,l13,824,828,3,35.65,1606.34,122.3,1610.99
2,l14,828,830,3,35.4,1599.74,119.85,1604.23
2,l15,830,854,3,34.0,1525.02,99.51,1528.26
2,l16,832,858,3,21.06,1013.07,-151.64,1024.35
2,l17,834,860,3,8.46,318.2,181.63,366.39
2,l18,834,842,3,14.91,574.33,-386.09,692.04
2,l19,836,840,3,1.12,48.79,31.53,58.09
2,l20,836,862,3,0.01,28.0,12.9,30.83
2,l21,842,844,3,14.78,569.76,-388.42,689.56
2,l22,844,846,3,9.97,105.88,-417.73,430.94
2,l23,846,848,3,9.9,71.55,-432.16,438.05
2,l24,850,816,3,48.12,1842.46,223.62,1855.98
2,l25,852R,832,3,31.56,1475.44,103.06,1479.04
2,l26,854,856,1,0.24,2.0,-2.8,3.44
2,l27,854,852,3,34.0,1520.38,101.35,1523.76
2,l28,858,864,1,0.07,1.0,0.21,1.02
2,l29,858,834,3,20.63,989.89,-159.65,1002.69
2,l30,860,836,3,2.8,138.59,74.33,157.26
2,l31,862,838,1,1.03,14.0,6.11,15.28
2,l32,888,890,3,69.97,450.02,232.78,506.66
3,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
3,l1,800,802,3,51.8,2047.06,283.26,2066.56
