Linha,De,Para,Fases,I (A),I (°),P (kW),Q (kVAR),S (kVA)
source,B1,B1,3,190.29,147.74,-1175.47,-739.56,1388.77
1-2,B1,B2,3,190.29,-32.26,1175.47,739.56,1388.77
2-3,B2,B3,3,167.07,-33.19,1018.42,664.48,1216.02
3-4,B3,B4,3,114.71,-36.63,661.5,492.0,824.41
4-5,B4,B5,3,108.0,-36.82,616.68,462.95,771.12
5-6,B5,B6,3,104.9,-37.14,592.24,450.75,744.26
6-7,B6,B7,3,46.32,-25.44,291.84,139.33,323.39
7-8,B7,B8,3,46.33,-25.45,291.44,138.07,322.49
8-9,B8,B9,3,35.48,-25.05,221.11,102.15,243.56
9-10,B9,B10,3,32.43,-25.66,199.93,94.65,221.2
10-11,B10,B11,3,29.41,-26.38,179.2,87.39,199.37
11-12,B11,B12,3,26.83,-25.65,164.33,77.59,181.73
12-13,B12,B13,3,23.5,-24.97,144.53,66.17,158.96
13-14,B13,B14,3,20.2,-24.04,124.45,54.35,135.8
14-15,B14,B15,3,13.5,-18.92,85.87,28.54,90.49
15-16,B15,B16,3,10.65,-21.37,66.64,25.32,71.29
16-17,B16,B17,3,7.65,-22.35,47.5,18.96,51.14
17-18,B17,B18,3,4.66,-24.54,28.44,12.59,31.11
2-19,B2,B19,3,18.09,-24.0,120.38,53.42,131.7
19-20,B19,B20,3,13.59,-24.02,90.32,40.11,98.83
20-21,B20,B21,3,9.06,-24.03,60.05,26.59,65.67
21-22,B21,B22,3,4.53,-24.04,30.01,13.29,32.82
3-23,B3,B23,3,48.45,-25.91,313.17,152.2,348.19
23-24,B23,B24,3,43.67,-25.57,282.11,134.88,312.69
24-25,B24,B25,3,21.87,-25.6,140.41,66.93,155.55
6-26,B6,B26,3,57.63,-47.5,271.39,297.04,402.35
26-27,B26,B27,3,54.84,-48.88,250.72,288.42,382.16
27-28,B27,B28,3,54.84,-48.89,249.86,288.05,381.32
28-29,B28,B29,3,52.24,-50.61,226.68,278.64,359.2
29-30,B29,B30,3,45.99,-53.59,184.72,253.58,313.73
30-31,B30,B31,3,19.17,-24.85,117.84,55.68,130.33
31-32,B31,B32,3,11.2,-25.04,68.5,32.53,75.83
32-33,B32,B33,3,0.01,90.35,0.0,-0.06,0.06
