Barra,Fase,V (p.u.),Ângulo (°),kV base
B1,1,0.9984,-0.09,7.309
B1,2,0.9984,-120.09,7.309
B1,3,0.9984,119.91,7.309
B2,1,0.9955,-0.08,7.309
B2,2,0.9955,-120.08,7.309
B2,3,0.9955,119.92,7.309
B3,1,0.982,0.0,7.309
B3,2,0.982,-120.0,7.309
B3,3,0.982,120.0,7.309
B4,1,0.975,0.06,7.309
B4,2,0.975,-119.94,7.309
B4,3,0.975,120.06,7.309
B5,1,0.9679,0.13,7.309
B5,2,0.9679,-119.87,7.309
B5,3,0.9679,120.13,7.309
B6,1,0.9501,0.04,7.309
B6,2,0.9501,-119.96,7.309
B6,3,0.9501,120.04,7.309
B7,1,0.9471,-0.16,7.309
B7,2,0.9471,-120.16,7.309
B7,3,0.9471,119.84,7.309
B8,1,0.9358,-0.29,7.309
B8,2,0.9358,-120.29,7.309
B8,3,0.9358,119.71,7.309
B9,1,0.9295,-0.37,7.309
B9,2,0.9295,-120.37,7.309
B9,3,0.9295,119.63,7.309
B10,1,0.9236,-0.43,7.309
B10,2,0.9236,-120.43,7.309
B10,3,0.9236,119.57,7.309
B11,1,0.9227,-0.42,7.309
B11,2,0.9227,-120.42,7.309
B11,3,0.9227,119.58,7.309
B12,1,0.9212,-0.41,7.309
B12,2,0.9212,-120.41,7.309
B12,3,0.9212,119.59,7.309
B13,1,0.9151,-0.51,7.309
B13,2,0.9151,-120.51,7.309
B13,3,0.9151,119.49,7.309
B14,1,0.9133,-0.59,7.309
B14,2,0.9133,-120.59,7.309
B14,3,0.9133,119.41,7.309
B15,1,0.9117,-0.62,7.309
B15,2,0.9117,-120.62,7.309
B15,3,0.9117,119.38,7.309
B16,1,0.9102,-0.64,7.309
B16,2,0.9102,-120.64,7.309
B16,3,0.9102,119.36,7.309
B17,1,0.9078,-0.73,7.309
B17,2,0.9078,-120.73,7.309
B17,3,0.9078,119.27,7.309
B18,1,0.9072,-0.74,7.309
B18,2,0.9072,-120.74,7.309
B18,3,0.9072,119.26,7.309
B19,1,0.995,-0.09,7.309
B19,2,0.995,-120.09,7.309
B19,3,0.995,119.91,7.309
B20,1,0.9913,-0.15,7.309
B20,2,0.9913,-120.15,7.309
B20,3,0.9913,119.85,7.309
B21,1,0.9906,-0.17,7.309
B21,2,0.9906,-120.17,7.309
B21,3,0.9906,119.83,7.309
B22,1,0.9899,-0.19,7.309
B22,2,0.9899,-120.19,7.309
B22,3,0.9899,119.81,7.309
B23,1,0.9786,-0.03,7.309
B23,2,0.9786,-120.03,7.309
B23,3,0.9786,119.97,7.309
B24,1,0.9748,-0.08,7.309
B24,2,0.9748,-120.08,7.309
B24,3,0.9748,119.92,7.309
B25,1,0.9744,-0.09,7.309
B25,2,0.9744,-120.09,7.309
B25,3,0.9744,119.91,7.309
B26,1,0.9484,0.08,7.309
B26,2,0.9484,-119.92,7.309
B26,3,0.9484,120.08,7.309
B27,1,0.946,0.14,7.309
B27,2,0.946,-119.86,7.309
B27,3,0.946,120.14,7.309
B28,1,0.9354,0.23,7.309
B28,2,0.9354,-119.77,7.309
B28,3,0.9354,120.23,7.309
B29,1,0.9284,0.32,7.309
B29,2,0.9284,-119.68,7.309
B29,3,0.9284,120.32,7.309
B30,1,0.9266,0.32,7.309
B30,2,0.9266,-119.68,7.309
B30,3,0.9266,120.32,7.309
B31,1,0.924,0.27,7.309
B31,2,0.924,-119.73,7.309
B31,3,0.924,120.27,7.309
B32,1,0.9238,0.26,7.309
B32,2,0.9238,-119.74,7.309
B32,3,0.9238,120.26,7.309
B33,1,0.9238,0.26,7.309
B33,2,0.9238,-119.74,7.309
B33,3,0.9238,120.26,7.309
