Linha,De,Para,Fases,I (A),I (°),P (kW),Q (kVAR),S (kVA)
source,B1,B1,3,206.99,148.16,-1284.39,-794.91,1510.48
1-2,B1,B2,3,206.99,-31.84,1284.39,794.91,1510.48
2-3,B2,B3,3,183.74,-32.64,1126.73,719.51,1336.87
3-4,B3,B4,3,131.18,-35.43,766.91,545.56,941.17
4-5,B4,B5,3,124.44,-35.53,720.62,515.76,886.17
5-6,B5,B6,3,121.32,-35.77,694.72,502.82,857.59
6-7,B6,B7,3,56.83,-25.76,355.0,171.6,394.3
7-8,B7,B8,3,46.06,-25.54,287.74,136.33,318.4
8-9,B8,B9,3,35.21,-25.13,217.9,100.67,240.02
9-10,B9,B10,3,32.18,-25.74,197.02,93.28,217.99
10-11,B10,B11,3,29.18,-26.46,176.6,86.12,196.48
11-12,B11,B12,3,26.62,-25.74,161.95,76.47,179.09
12-13,B12,B13,3,23.32,-25.05,142.43,65.21,156.65
13-14,B13,B14,3,20.05,-24.13,122.64,53.56,133.82
14-15,B14,B15,3,13.39,-19.0,84.62,28.13,89.18
15-16,B15,B16,3,10.57,-21.45,65.68,24.95,70.26
16-17,B16,B17,3,7.59,-22.43,46.81,18.68,50.4
17-18,B17,B18,3,4.63,-24.62,28.03,12.41,30.65
2-19,B2,B19,3,18.1,-24.01,120.38,53.42,131.7
19-20,B19,B20,3,13.59,-24.03,90.32,40.11,98.83
20-21,B20,B21,3,9.06,-24.04,60.05,26.59,65.67
21-22,B21,B22,3,4.53,-24.05,30.01,13.29,32.82
3-23,B3,B23,3,48.53,-25.92,313.17,152.21,348.2
23-24,B23,B24,3,43.74,-25.58,282.11,134.88,312.7
24-25,B24,B25,3,21.91,-25.6,140.41,66.93,155.55
6-26,B6,B26,3,63.38,-45.57,307.67,314.21,439.76
26-27,B26,B27,3,60.52,-46.73,286.85,305.52,419.08
27-28,B27,B28,3,57.68,-48.02,265.81,296.72,398.37
28-29,B28,B29,3,55.04,-49.61,242.38,287.04,375.69
29-30,B29,B30,3,48.8,-52.26,200.83,262.16,330.25
30-31,B30,B31,3,22.39,-26.21,134.95,67.58,150.93
31-32,B31,B32,3,14.49,-27.06,86.4,44.73,97.29
32-33,B32,B33,3,3.43,-33.29,19.18,12.73,23.02
