Barra,Fase,V (p.u.),Ângulo (°),kV base
SOURCEBUS,1,1.05,30.0,39.837
SOURCEBUS,2,1.05,-90.0,39.837
SOURCEBUS,3,1.05,150.0,39.837
800,1,1.05,-0.0,14.376
800,2,1.05,-120.0,14.376
800,3,1.05,120.0,14.376
802,1,1.048,-0.06,14.376
802,2,1.0483,-120.06,14.376
802,3,1.048,119.94,14.376
806,1,1.0468,-0.1,14.376
806,2,1.0472,-120.1,14.376
806,3,1.0468,119.9,14.376
808,1,1.0232,-0.82,14.376
808,2,1.0266,-120.87,14.376
808,3,1.0232,119.13,14.376
810,1,1.0232,-0.82,14.376
810,2,1.0266,-120.87,14.376
810,3,1.0232,119.13,14.376
812,1,0.996,-1.68,14.376
812,2,1.0029,-121.77,14.376
812,3,0.9959,118.22,14.376
814,1,0.9744,-2.38,14.376
814,2,0.9842,-122.5,14.376
814,3,0.9743,117.47,14.376
814R,1,1.0229,-2.4,14.376
814R,2,1.0209,-122.51,14.376
814R,3,1.0229,117.45,14.376
850,1,1.0229,-2.4,14.376
850,2,1.0209,-122.51,14.376
850,3,1.0228,117.45,14.376
816,1,1.0226,-2.41,14.376
816,2,1.0206,-122.52,14.376
816,3,1.0225,117.44,14.376
818,1,1.0224,-2.41,14.376
818,2,1.0205,-122.52,14.376
818,3,1.0224,117.44,14.376
824,1,1.0133,-2.6,14.376
824,2,1.0122,-122.73,14.376
824,3,1.0133,117.23,14.376
820,1,1.0186,-2.44,14.376
820,2,1.0168,-122.56,14.376
820,3,1.0185,117.41,14.376
822,1,1.0186,-2.44,14.376
822,2,1.0168,-122.57,14.376
822,3,1.0185,117.41,14.376
826,1,1.0133,-2.6,14.376
826,2,1.0122,-122.73,14.376
826,3,1.0133,117.23,14.376
828,1,1.0126,-2.62,14.376
828,2,1.0115,-122.74,14.376
828,3,1.0125,117.21,14.376
830,1,0.9946,-3.02,14.376
830,2,0.9952,-123.16,14.376
830,3,0.9947,116.79,14.376
854,1,0.9941,-3.03,14.376
854,2,0.9948,-123.17,14.376
854,3,0.9942,116.78,14.376
832,1,1.0467,-3.75,14.376
832,2,1.0447,-123.93,14.376
832,3,1.0471,116.0,14.376
858,1,1.0444,-3.84,14.376
858,2,1.0426,-124.02,14.376
858,3,1.0448,115.91,14.376
834,1,1.0417,-3.94,14.376
834,2,1.0402,-124.12,14.376
834,3,1.0421,115.8,14.376
860,1,1.0414,-3.94,14.376
860,2,1.0399,-124.12,14.376
860,3,1.0418,115.8,14.376
842,1,1.0416,-3.95,14.376
842,2,1.0401,-124.12,14.376
842,3,1.0421,115.8,14.376
836,1,1.0412,-3.94,14.376
836,2,1.0397,-124.12,14.376
836,3,1.0417,115.8,14.376
840,1,1.0412,-3.94,14.376
840,2,1.0397,-124.12,14.376
840,3,1.0416,115.8,14.376
862,1,1.0412,-3.94,14.376
862,2,1.0397,-124.12,14.376
862,3,1.0417,115.8,14.376
844,1,1.0414,-3.97,14.376
844,2,1.0399,-124.15,14.376
844,3,1.0418,115.77,14.376
846,1,1.0416,-4.02,14.376
846,2,1.0402,-124.19,14.376
846,3,1.0421,115.72,14.376
848,1,1.0416,-4.03,14.376
848,2,1.0402,-124.2,14.376
848,3,1.0421,115.72,14.376
852R,1,1.0468,-3.75,14.376
852R,2,1.0447,-123.93,14.376
852R,3,1.0471,116.0,14.376
856,1,0.9942,-3.03,14.376
856,2,0.9948,-123.18,14.376
856,3,0.9943,116.77,14.376
852,1,0.9627,-3.74,14.376
852,2,0.9663,-123.92,14.376
852,3,0.963,116.02,14.376
864,1,1.0444,-3.84,14.376
864,2,1.0426,-124.02,14.376
864,3,1.0448,115.91,14.376
838,1,1.0412,-3.94,14.376
838,2,1.0397,-124.12,14.376
838,3,1.0417,115.8,14.376
888,1,1.0106,-5.27,2.402
888,2,1.0084,-125.44,2.402
888,3,1.0109,114.49,2.402
890,1,0.9281,-5.88,2.402
890,2,0.9338,-126.42,2.402
890,3,0.928,113.65,2.402
